,System,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
R-HSA-76005,Digestive,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,9/72,134/11009,1.9923557358565093e-07,2.171667752083595e-05,1.86652274201294e-05,ACTN1/FLNA/HSPA5/ITIH3/LGALS3BP/SERPINA3/THBS1/TIMP1/VCL,9,,
R-HSA-166663,Digestive,R-HSA-166663,Initial triggering of complement,5/72,23/11009,3.191040589625039e-07,2.611605986530104e-05,2.244644450035531e-05,C1QA/C2/CFB/CRP/MASP2,5,,
R-HSA-6785807,Digestive,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,8/72,108/11009,4.6983636887043386e-07,2.611605986530104e-05,2.244644450035531e-05,ICAM1/ITGB1/LBP/LCN2/MMP2/SAA1/TIMP1/VCAM1,8,,
R-HSA-8957275,Digestive,R-HSA-8957275,Post-translational protein phosphorylation,8/72,108/11009,4.6983636887043386e-07,2.611605986530104e-05,2.244644450035531e-05,APOB/APOE/CP/GOLM1/IGFBP7/RCN1/SPP1/TIMP1,8,,
R-HSA-1474244,Digestive,R-HSA-1474244,Extracellular matrix organization,12/72,300/11009,4.791937589963493e-07,2.611605986530104e-05,2.244644450035531e-05,ACTN1/CDH1/CTSD/EFEMP1/FBLN1/ICAM1/ITGB1/MMP2/SPP1/THBS1/TIMP1/VCAM1,12,,
R-HSA-977606,Digestive,R-HSA-977606,Regulation of Complement cascade,6/72,47/11009,5.500502237191503e-07,2.6646877504616617e-05,2.2902675981756436e-05,C1QA/C2/C5/C7/C9/CFB,6,,
R-HSA-449147,Digestive,R-HSA-449147,Signaling by Interleukins,14/72,473/11009,1.8216521762517996e-06,7.942403488457847e-05,6.826401839427797e-05,GSTO1/HNRNPA2B1/ICAM1/ITGB1/LBP/LCN2/MMP2/OSMR/PSMB2/SAA1/SOD2/TIMP1/VCAM1/YWHAZ,14,,
R-HSA-76002,Digestive,R-HSA-76002,"Platelet activation, signaling and aggregation",10/72,263/11009,7.427278596900905e-06,0.00029439031529534496,0.00025302499334896864,ACTN1/FLNA/HSPA5/ITIH3/LGALS3BP/SERPINA3/THBS1/TIMP1/VCL/YWHAZ,10,,
R-HSA-216083,Digestive,R-HSA-216083,Integrin cell surface interactions,6/72,85/11009,1.8425708756946088e-05,0.0006694674181690413,0.0005753993260941059,CDH1/ICAM1/ITGB1/SPP1/THBS1/VCAM1,6,,
R-HSA-9614399,Digestive,R-HSA-9614399,Regulation of localization of FOXO transcription factors,3/72,11/11009,4.26271857723764e-05,0.001429650230519701,0.0012287674603211334,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-9755779,Digestive,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,3/72,12/11009,5.656952616803375e-05,0.001761736672090194,0.001514191828257144,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-8963899,Digestive,R-HSA-8963899,Plasma lipoprotein remodeling,4/72,34/11009,6.724165263034173e-05,0.0019544907031219328,0.0016798616376422213,APOB/APOE/APOF/PLTP,4,,
R-HSA-75035,Digestive,R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,3/72,13/11009,7.319535821427268e-05,0.0019945735113389303,0.0017143123371237546,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-166786,Digestive,R-HSA-166786,Creation of C4 and C2 activators,3/72,14/11009,9.272077297666809e-05,0.0023780151186957228,0.0020438758625197424,C1QA/CRP/MASP2,3,,
R-HSA-111447,Digestive,R-HSA-111447,Activation of BAD and translocation to mitochondria,3/72,15/11009,0.00011535746801771016,0.002647150318722191,0.002275194383063979,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-9735871,Digestive,R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,3/72,15/11009,0.00011535746801771016,0.002647150318722191,0.002275194383063979,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-109581,Digestive,R-HSA-109581,Apoptosis,7/72,180/11009,0.00016722211385361557,0.0036454420820088195,0.003133214343783534,CD14/CDH1/DSG2/PSMB2/YWHAG/YWHAQ/YWHAZ,7,,
R-HSA-446353,Digestive,R-HSA-446353,Cell-extracellular matrix interactions,3/72,18/11009,0.00020398747354047502,0.00423516849826891,0.0036400772220756446,ACTN1/FLNA/ITGB1,3,,
R-HSA-5686938,Digestive,R-HSA-5686938,Regulation of TLR by endogenous ligand,3/72,21/11009,0.00032782992242137916,0.006496993007987332,0.005584088630718229,APOB/CD14/LBP,3,,
R-HSA-5357801,Digestive,R-HSA-5357801,Programmed Cell Death,7/72,213/11009,0.0004666125832206589,0.00884535157757423,0.007602475040116914,CD14/CDH1/DSG2/PSMB2/YWHAG/YWHAQ/YWHAZ,7,,
R-HSA-3000170,Digestive,R-HSA-3000170,Syndecan interactions,3/72,27/11009,0.0007009772121079451,0.012734419353294337,0.010945082785545108,ACTN1/ITGB1/THBS1,3,,
R-HSA-9614085,Digestive,R-HSA-9614085,FOXO-mediated transcription,4/72,65/11009,0.0008426726851249427,0.014696211628579002,0.012631220038083353,SOD2/YWHAG/YWHAQ/YWHAZ,4,,
R-HSA-446728,Digestive,R-HSA-446728,Cell junction organization,5/72,115/11009,0.000913547761721051,0.01531949323501455,0.013166923205372235,ACTN1/CDH1/CDH5/FLNA/ITGB1,5,,
R-HSA-114452,Digestive,R-HSA-114452,Activation of BH3-only proteins,3/72,30/11009,0.0009594041248508719,0.015492599942036302,0.013315706372199237,YWHAG/YWHAQ/YWHAZ,3,,
R-HSA-174824,Digestive,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",4/72,75/11009,0.0014403216594771528,0.02242786584042995,0.019276485367438586,APOB/APOE/APOF/PLTP,4,,
R-HSA-70263,Digestive,R-HSA-70263,Gluconeogenesis,3/72,35/11009,0.001510862070880824,0.0227150297553117,0.01952329935512063,ENO1/GAPDH/GOT1,3,,
R-HSA-198933,Digestive,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,5/72,133/11009,0.0017472366715503987,0.02352973873790014,0.020223532087620594,CDH1/FCGR3A/ICAM1/ITGB1/VCAM1,5,,
R-HSA-2129379,Digestive,R-HSA-2129379,Molecules associated with elastic fibres,3/72,37/11009,0.0017769520289856906,0.02352973873790014,0.020223532087620594,EFEMP1/FBLN1/ITGB1,3,,
R-HSA-8963888,Digestive,R-HSA-8963888,Chylomicron assembly,2/72,10/11009,0.001834887883230745,0.02352973873790014,0.020223532087620594,APOB/APOE,2,,
R-HSA-8963901,Digestive,R-HSA-8963901,Chylomicron remodeling,2/72,10/11009,0.001834887883230745,0.02352973873790014,0.020223532087620594,APOB/APOE,2,,
R-HSA-8964058,Digestive,R-HSA-8964058,HDL remodeling,2/72,10/11009,0.001834887883230745,0.02352973873790014,0.020223532087620594,APOE/PLTP,2,,
R-HSA-8950505,Digestive,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,3/72,38/11009,0.001920267821077052,0.023921050571131277,0.020559859979050542,GSTO1/HNRNPA2B1/SOD2,3,,
R-HSA-1474228,Digestive,R-HSA-1474228,Degradation of the extracellular matrix,5/72,140/11009,0.0021882862382760124,0.02631516931525866,0.022617576717122362,CDH1/CTSD/MMP2/SPP1/TIMP1,5,,
R-HSA-351906,Digestive,R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,2/72,11/11009,0.0022331680382214917,0.02631516931525866,0.022617576717122362,CDH1/DSG2,2,,
R-HSA-2173782,Digestive,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,3/72,42/11009,0.0025648064751671485,0.029427779557180966,0.025292828397770216,APOB/APOE/SAA1,3,,
R-HSA-430116,Digestive,R-HSA-430116,GP1b-IX-V activation signalling,2/72,12/11009,0.002668487740632182,0.029832324485016187,0.025640529977464424,FLNA/YWHAZ,2,,
R-HSA-1566948,Digestive,R-HSA-1566948,Elastic fibre formation,3/72,44/11009,0.0029314251548523142,0.03195253418789023,0.027462825134932204,EFEMP1/FBLN1/ITGB1,3,,
R-HSA-445355,Digestive,R-HSA-445355,Smooth Muscle Contraction,3/72,45/11009,0.0031261966645387434,0.03260210109594062,0.028021120208003042,ACTA2/ANXA6/VCL,3,,
R-HSA-70326,Digestive,R-HSA-70326,Glucose metabolism,4/72,93/11009,0.003167883126084141,0.03260210109594062,0.028021120208003042,ENO1/GAPDH/GOT1/PKM,4,,
R-HSA-1500931,Digestive,R-HSA-1500931,Cell-Cell communication,5/72,153/11009,0.0032153448328565287,0.03260210109594062,0.028021120208003042,ACTN1/CDH1/CDH5/FLNA/ITGB1,5,,
R-HSA-9020591,Digestive,R-HSA-9020591,Interleukin-12 signaling,3/72,47/11009,0.003539166379331043,0.03506992139518942,0.03014218256080984,GSTO1/HNRNPA2B1/SOD2,3,,
R-HSA-6798695,Digestive,R-HSA-6798695,Neutrophil degranulation,9/72,480/11009,0.003906632929614718,0.03785093238471149,0.03253242860685005,CD14/CD93/CTSD/LCN2/LRG1/LYZ/PKM/SERPINA3/VCL,9,,
GO:0006956,Digestive,GO:0006956,complement activation,7/84,67/18870,1.882267933403235e-08,3.305151434054633e-05,2.4388008979548392e-05,C1QA/C2/C5/C7/C9/CFB/MASP2,7,,
GO:0006958,Digestive,GO:0006958,"complement activation, classical pathway",6/84,42/18870,2.995128113295712e-08,3.305151434054633e-05,2.4388008979548392e-05,C1QA/C2/C5/C7/C9/MASP2,6,,
GO:0042060,Digestive,GO:0042060,wound healing,13/84,423/18870,4.438430752982945e-08,3.305151434054633e-05,2.4388008979548392e-05,ANXA6/APOE/AXL/FBLN1/FGL1/FLNA/HNF4A/ITGB1/LRG1/SAA1/THBS1/TIMP1/VCL,13,,
GO:0006909,Digestive,GO:0006909,phagocytosis,10/84,237/18870,9.892781327656472e-08,5.52511837149614e-05,4.076867252397378e-05,ADIPOQ/AXL/C2/CD14/CD93/CRP/ITGB1/LBP/LMAN2/THBS1,10,,
GO:0002455,Digestive,GO:0002455,humoral immune response mediated by circulating immunoglobulin,6/84,55/18870,1.5806196968209813e-07,7.062208805396145e-05,5.2110535688876986e-05,C1QA/C2/C5/C7/C9/MASP2,6,,
GO:0006959,Digestive,GO:0006959,humoral immune response,10/84,258/18870,2.1787349641141275e-07,8.112156516384934e-05,5.985787638250393e-05,C1QA/C2/C5/C7/C9/CFB/GAPDH/LYZ/MASP2/RNASE4,10,,
GO:0002526,Digestive,GO:0002526,acute inflammatory response,7/84,107/18870,4.891885436494432e-07,0.0001561210295018366,0.00011519838486541776,CRP/FCGR3A/LBP/OSMR/SAA1/SAA2/SERPINA3,7,,
GO:0007596,Digestive,GO:0007596,blood coagulation,9/84,224/18870,6.78107483358867e-07,0.0001893615147279636,0.0001397258314394718,APOE/AXL/FBLN1/FGL1/FLNA/HNF4A/SAA1/THBS1/VCL,9,,
GO:0050817,Digestive,GO:0050817,coagulation,9/84,229/18870,8.153578930020158e-07,0.0001958419386693514,0.00014450759833963355,APOE/AXL/FBLN1/FGL1/FLNA/HNF4A/SAA1/THBS1/VCL,9,,
GO:0007599,Digestive,GO:0007599,hemostasis,9/84,231/18870,8.766425186631665e-07,0.0001958419386693514,0.00014450759833963355,APOE/AXL/FBLN1/FGL1/FLNA/HNF4A/SAA1/THBS1/VCL,9,,
GO:0006957,Digestive,GO:0006957,"complement activation, alternative pathway",4/84,18/18870,1.0660570411643227e-06,0.000216506493632827,0.0001597555336328545,C5/C7/C9/CFB,4,,
GO:0006953,Digestive,GO:0006953,acute-phase response,5/84,48/18870,2.2829239173849837e-06,0.00042500433595317114,0.0003136016539144636,CRP/LBP/SAA1/SAA2/SERPINA3,5,,
GO:0040013,Digestive,GO:0040013,negative regulation of locomotion,11/84,423/18870,2.6952037675708624e-06,0.00046316040128871586,0.00034175620243044293,ADIPOQ/APOE/C5/CDH1/DPP4/FBLN1/NRP1/PTPRG/THBS1/TIMP1/VCL,11,,
GO:0031589,Digestive,GO:0031589,cell-substrate adhesion,10/84,356/18870,4.0273090344758274e-06,0.0006426434559299285,0.00047419292842023654,ACTN1/AXL/FBLN1/FGL1/FLNA/ITGB1/NRP1/THBS1/VCAM1/VCL,10,,
GO:0002064,Digestive,GO:0002064,epithelial cell development,8/84,214/18870,4.996954131478174e-06,0.000744213035314816,0.0005491389592908646,ACTA2/ADIPOQ/CDH5/FLNA/ICAM1/PODXL/ROBO4/VCL,8,,
GO:0007566,Digestive,GO:0007566,embryo implantation,5/84,60/18870,6.9832118248586255e-06,0.0009750309510458856,0.0007194545866926716,FBLN1/IGFBP7/MMP2/SPP1/TIMP1,5,,
GO:2000146,Digestive,GO:2000146,negative regulation of cell motility,10/84,388/18870,8.580392960559758e-06,0.0011275645808170882,0.0008320059056493239,ADIPOQ/APOE/C5/CDH1/DPP4/FBLN1/PTPRG/THBS1/TIMP1/VCL,10,,
GO:0031667,Digestive,GO:0031667,response to nutrient levels,11/84,495/18870,1.1958478544471151e-05,0.0014599831682667657,0.0010772905062930572,ADIPOQ/APOE/C2/H6PD/HSPA5/IGFBP2/SOD2/SPP1/VCAM1/YWHAG/YWHAZ,11,,
GO:0001667,Digestive,GO:0001667,ameboidal-type cell migration,11/84,497/18870,1.241704574622585e-05,0.0014599831682667657,0.0010772905062930572,ACTA2/ANXA6/APOE/CDH5/DPP4/ITGB1/LRG1/NRP1/PTPRG/THBS1/TIMP1,11,,
GO:0048675,Digestive,GO:0048675,axon extension,6/84,121/18870,1.65873039008434e-05,0.0018471339228461558,0.0013629608081690053,APOE/CDH1/ITGB1/NRP1/OLFM1/VCL,6,,
GO:1905952,Digestive,GO:1905952,regulation of lipid localization,7/84,183/18870,1.7363389605984454e-05,0.0018471339228461558,0.0013629608081690053,ADIPOQ/APOB/APOE/CRP/PLTP/SPP1/THBS1,7,,
GO:0007565,Digestive,GO:0007565,female pregnancy,7/84,186/18870,1.928591639166746e-05,0.0019583971463175047,0.0014450595726962316,DSG2/FBLN1/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,7,,
GO:0030168,Digestive,GO:0030168,platelet activation,6/84,133/18870,2.836243845705547e-05,0.002643037423171942,0.001950241061436772,APOE/AXL/FGL1/FLNA/SAA1/VCL,6,,
GO:0048246,Digestive,GO:0048246,macrophage chemotaxis,4/84,41/18870,3.263482859584493e-05,0.002643037423171942,0.001950241061436772,C5/MMP2/SAA1/THBS1,4,,
GO:0098742,Digestive,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,8/84,279/18870,3.407972745996994e-05,0.002643037423171942,0.001950241061436772,ADIPOQ/CDH1/CDH5/DSG2/ICAM1/ITGB1/ROBO4/VCAM1,8,,
GO:0050878,Digestive,GO:0050878,regulation of body fluid levels,9/84,365/18870,3.52517884713729e-05,0.002643037423171942,0.001950241061436772,APOE/AXL/FBLN1/FGL1/FLNA/HNF4A/SAA1/THBS1/VCL,9,,
GO:0016064,Digestive,GO:0016064,immunoglobulin mediated immune response,7/84,205/18870,3.59855544171988e-05,0.002643037423171942,0.001950241061436772,C1QA/C2/C5/C7/C9/FCGR3A/MASP2,7,,
GO:0048678,Digestive,GO:0048678,response to axon injury,5/84,84/18870,3.6308661190510165e-05,0.002643037423171942,0.001950241061436772,AXL/FLNA/MMP2/SOD2/SPP1,5,,
GO:0044703,Digestive,GO:0044703,multi-organism reproductive process,7/84,206/18870,3.7118705327127744e-05,0.002643037423171942,0.001950241061436772,DSG2/FBLN1/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,7,,
GO:0010763,Digestive,GO:0010763,positive regulation of fibroblast migration,3/84,15/18870,3.7251547718714573e-05,0.002643037423171942,0.001950241061436772,ACTA2/ITGB1/THBS1,3,,
GO:0042159,Digestive,GO:0042159,lipoprotein catabolic process,3/84,15/18870,3.7251547718714573e-05,0.002643037423171942,0.001950241061436772,APOB/APOE/CTSD,3,,
GO:0010977,Digestive,GO:0010977,negative regulation of neuron projection development,6/84,140/18870,3.7859085739257895e-05,0.002643037423171942,0.001950241061436772,APOE/CDH1/FLNA/NRP1/PTPRG/SPP1,6,,
GO:0019724,Digestive,GO:0019724,B cell mediated immunity,7/84,208/18870,3.9473123596823e-05,0.0026722108519788663,0.0019717675136403452,C1QA/C2/C5/C7/C9/FCGR3A/MASP2,7,,
GO:0030336,Digestive,GO:0030336,negative regulation of cell migration,9/84,373/18870,4.17224745803867e-05,0.0027414120062524672,0.002022829572535157,ADIPOQ/APOE/C5/CDH1/DPP4/PTPRG/THBS1/TIMP1/VCL,9,,
GO:0090130,Digestive,GO:0090130,tissue migration,9/84,380/18870,4.818367281128828e-05,0.0030649305562813756,0.002261547024990169,ACTA2/APOE/CDH5/DPP4/ITGB1/LRG1/NRP1/PTPRG/THBS1,9,,
GO:0044706,Digestive,GO:0044706,multi-multicellular organism process,7/84,216/18870,5.015309933806768e-05,0.0030649305562813756,0.002261547024990169,DSG2/FBLN1/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,7,,
GO:0032102,Digestive,GO:0032102,negative regulation of response to external stimulus,10/84,481/18870,5.386690281125071e-05,0.0030649305562813756,0.002261547024990169,ADIPOQ/APOE/C5/CDH5/DPP4/NRP1/SAA1/SPP1/THBS1/YWHAZ,10,,
GO:0001666,Digestive,GO:0001666,response to hypoxia,8/84,298/18870,5.4279090354203625e-05,0.0030649305562813756,0.002261547024990169,ADIPOQ/DPP4/ENO1/MMP2/SOD2/THBS1/VASN/VCAM1,8,,
GO:0033631,Digestive,GO:0033631,cell-cell adhesion mediated by integrin,3/84,17/18870,5.531547624226698e-05,0.0030649305562813756,0.002261547024990169,DPP4/ITGB1/PODXL,3,,
GO:0031640,Digestive,GO:0031640,killing of cells of another organism,5/84,92/18870,5.624984458707986e-05,0.0030649305562813756,0.002261547024990169,C5/C7/C9/GAPDH/LYZ,5,,
GO:0141061,Digestive,GO:0141061,disruption of cell in another organism,5/84,92/18870,5.624984458707986e-05,0.0030649305562813756,0.002261547024990169,C5/C7/C9/GAPDH/LYZ,5,,
GO:0001906,Digestive,GO:0001906,cell killing,7/84,223/18870,6.134287060703766e-05,0.003245729787592657,0.0023949549297319424,C5/C7/C9/FCGR3A/GAPDH/ICAM1/LYZ,7,,
GO:0050867,Digestive,GO:0050867,positive regulation of cell activation,9/84,396/18870,6.619344327100713e-05,0.003245729787592657,0.0023949549297319424,ACTA2/AXL/DPP4/FCGR3A/FLNA/IGFBP2/LBP/THBS1/VCAM1,9,,
GO:0050900,Digestive,GO:0050900,leukocyte migration,9/84,396/18870,6.619344327100713e-05,0.003245729787592657,0.0023949549297319424,C5/DPP4/ICAM1/ITGB1/LBP/MMP2/SAA1/THBS1/VCAM1,9,,
GO:0061028,Digestive,GO:0061028,establishment of endothelial barrier,4/84,49/18870,6.64544531964299e-05,0.003245729787592657,0.0023949549297319424,CDH5/ICAM1/ROBO4/VCL,4,,
GO:0007584,Digestive,GO:0007584,response to nutrient,6/84,155/18870,6.683239491014423e-05,0.003245729787592657,0.0023949549297319424,ADIPOQ/C2/IGFBP2/SOD2/SPP1/VCAM1,6,,
GO:0046718,Digestive,GO:0046718,viral entry into host cell,6/84,156/18870,6.926054741227855e-05,0.0032920864450857504,0.0024291605206635657,AXL/DPP4/ICAM1/ITGB1/MRC1/NRP1,6,,
GO:0016049,Digestive,GO:0016049,cell growth,10/84,497/18870,7.075664918569049e-05,0.003293132380850678,0.0024299322944033182,APOE/CDH1/ENO1/HNF4A/IGFBP7/ITGB1/NRP1/OLFM1/SPP1/VCL,10,,
GO:0007162,Digestive,GO:0007162,negative regulation of cell adhesion,8/84,312/18870,7.485175126791277e-05,0.003412628823112594,0.0025181061758442836,ADIPOQ/CDH1/FBLN1/FGL1/MMP2/PODXL/TGFBI/THBS1,8,,
GO:0141060,Digestive,GO:0141060,disruption of anatomical structure in another organism,5/84,99/18870,7.984239690365103e-05,0.003504846555912807,0.00258615167816023,C5/C7/C9/GAPDH/LYZ,5,,
GO:0036293,Digestive,GO:0036293,response to decreased oxygen levels,8/84,315/18870,8.001216398905692e-05,0.003504846555912807,0.00258615167816023,ADIPOQ/DPP4/ENO1/MMP2/SOD2/THBS1/VASN/VCAM1,8,,
GO:0044409,Digestive,GO:0044409,entry into host,6/84,163/18870,8.829988898659654e-05,0.0037934990768472435,0.0027991422298180198,AXL/DPP4/ICAM1/ITGB1/MRC1/NRP1,6,,
