,Hcluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
hsa00010,C1,hsa00010,Glycolysis / Gluconeogenesis,5/66,67/8843,0.00013420402611917515,0.0030419579253679703,0.0024486348625253006,ALDOA/ENO1/GAPDH/PGK1/PKM,5,Metabolism,Carbohydrate metabolism
hsa04514,C1,hsa04514,Cell adhesion molecules,7/66,157/8843,0.00015736088510187645,0.0030572971962650277,0.002460982263247391,ALCAM/CDH1/ICAM1/ICAM2/ITGB1/PVR/VCAM1,7,Environmental Information Processing,Signaling molecules and interaction
hsa01200,C1,hsa01200,Carbon metabolism,6/66,116/8843,0.00021419326522283106,0.0034615949152511693,0.0027864231515953687,ALDOA/ENO1/GAPDH/H6PD/PGK1/PKM,6,Metabolism,Global and overview maps
hsa01230,C1,hsa01230,Biosynthesis of amino acids,5/66,75/8843,0.00022907613409750387,0.0034615949152511693,0.0027864231515953687,ALDOA/ENO1/GAPDH/PGK1/PKM,5,Metabolism,Global and overview maps
hsa04510,C1,hsa04510,Focal adhesion,7/66,203/8843,0.0007491982032197372,0.010189095563788426,0.008201748751037123,FLNA/FLT4/ITGB1/SPP1/TNC/VCL/VWF,7,Cellular Processes,Cellular community - eukaryotes
hsa04145,C1,hsa04145,Phagosome,6/66,157/8843,0.0010742075887172147,0.01328111200595829,0.010690678394889026,CD14/COLEC11/FCGR3A/ITGB1/MBL2/MRC1,6,Cellular Processes,Transport and catabolism
hsa04066,C1,hsa04066,HIF-1 signaling pathway,5/66,109/8843,0.0012762004224687155,0.014463604787978777,0.011642530169890036,ALDOA/ENO1/GAPDH/PGK1/TIMP1,5,Environmental Information Processing,Signal transduction
hsa04820,C1,hsa04820,Cytoskeleton in muscle cells,7/66,232/8843,0.0016314975864781716,0.016352247162126077,0.013162799573228422,DSG2/ENO1/FBLN1/HSPG2/ITGB1/NID1/VCL,7,,
hsa04670,C1,hsa04670,Leukocyte transendothelial migration,5/66,116/8843,0.0016833195608070963,0.016352247162126077,0.013162799573228422,ICAM1/ITGB1/MMP2/VCAM1/VCL,5,Organismal Systems,Immune system
hsa05322,C1,hsa05322,Systemic lupus erythematosus,5/66,139/8843,0.003700642745818641,0.033552494228755676,0.027008199688781664,C1QA/C2/C7/C9/FCGR3A,5,Human Diseases,Immune disease
hsa04936,C1,hsa04936,Alcoholic liver disease,5/66,144/8843,0.004302757291752121,0.03657343697989303,0.029439918311988195,ADIPOQ/C1QA/C2/CD14/LBP,5,Human Diseases,Endocrine and metabolic disease
hsa05417,C1,hsa05417,Lipid and atherosclerosis,6/66,216/8843,0.0053152353793431955,0.042521883034745564,0.034228141142519646,CD14/HSPA8/ICAM1/LBP/SOD2/VCAM1,6,Human Diseases,Cardiovascular disease
R-HSA-166658,C1,R-HSA-166658,Complement cascade,12/78,58/11009,4.5595426106457476e-15,1.4408154649640563e-12,1.1134883007050668e-12,C1QA/C2/C4BPA/C7/C9/CFB/CFHR5/COLEC11/CRP/MASP1/MBL2/SERPING1,12,,
R-HSA-166663,C1,R-HSA-166663,Initial triggering of complement,7/78,23/11009,1.5241913623879685e-10,2.4082223525729903e-08,1.86111787407373e-08,C1QA/C2/CFB/COLEC11/CRP/MASP1/MBL2,7,,
R-HSA-977606,C1,R-HSA-977606,Regulation of Complement cascade,8/78,47/11009,1.1071349434670615e-09,1.1661821404519714e-07,9.012466908223098e-08,C1QA/C2/C4BPA/C7/C9/CFB/CFHR5/SERPING1,8,,
R-HSA-1474244,C1,R-HSA-1474244,Extracellular matrix organization,15/78,300/11009,2.2270815171340875e-09,1.759394398535929e-07,1.3596918736187061e-07,CDH1/CTSD/EFEMP1/FBLN1/HSPG2/ICAM1/ICAM2/ITGB1/MMP2/NID1/SPP1/TIMP1/TNC/VCAM1/VWF,15,,
R-HSA-216083,C1,R-HSA-216083,Integrin cell surface interactions,9/78,85/11009,7.481303344240466e-09,4.728183713559975e-07,3.6540260544500803e-07,CDH1/HSPG2/ICAM1/ICAM2/ITGB1/SPP1/TNC/VCAM1/VWF,9,,
R-HSA-381426,C1,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10/78,125/11009,1.624333051421624e-08,8.554820737487219e-07,6.611320489996786e-07,APOE/CP/CST3/FSTL1/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1/TNC,10,,
R-HSA-114608,C1,R-HSA-114608,Platelet degranulation,10/78,129/11009,2.2016428069718022e-08,9.938844671472709e-07,7.680919266427942e-07,ALDOA/FLNA/ITIH3/LGALS3BP/SERPINA3/SERPING1/TIMP1/TMSB4X/VCL/VWF,10,,
R-HSA-166786,C1,R-HSA-166786,Creation of C4 and C2 activators,5/78,14/11009,2.986414855884125e-08,1.1142813129417497e-06,8.6113679081441e-07,C1QA/COLEC11/CRP/MASP1/MBL2,5,,
R-HSA-76005,C1,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,10/78,134/11009,3.173586017872072e-08,1.1142813129417497e-06,8.6113679081441e-07,ALDOA/FLNA/ITIH3/LGALS3BP/SERPINA3/SERPING1/TIMP1/TMSB4X/VCL/VWF,10,,
R-HSA-6785807,C1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,9/78,108/11009,6.237815123452419e-08,1.9711495790109644e-06,1.5233401143589066e-06,HSPA8/ICAM1/ITGB1/LBP/LCN2/MMP2/SAA1/TIMP1/VCAM1,9,,
R-HSA-8957275,C1,R-HSA-8957275,Post-translational protein phosphorylation,8/78,108/11009,8.76736747061787e-07,2.518625564286588e-05,1.9464394767304748e-05,APOE/CP/CST3/FSTL1/IGFBP7/SPP1/TIMP1/TNC,8,,
R-HSA-6798695,C1,R-HSA-6798695,Neutrophil degranulation,15/78,480/11009,1.0892115879380757e-06,2.8682571815702658e-05,2.2166411263301193e-05,ALDOA/CD14/CD93/CST3/CTSD/GGH/HSPA8/LCN2/LRG1/LYZ/PKM/S100A8/S100A9/SERPINA3/VCL,15,,
R-HSA-76002,C1,R-HSA-76002,"Platelet activation, signaling and aggregation",11/78,263/11009,2.214239556501603e-06,5.382305383496204e-05,4.159543134480744e-05,ALDOA/FLNA/GP1BA/ITIH3/LGALS3BP/SERPINA3/SERPING1/TIMP1/TMSB4X/VCL/VWF,11,,
R-HSA-5686938,C1,R-HSA-5686938,Regulation of TLR by endogenous ligand,4/78,21/11009,1.2734877962744591e-05,0.0002874443883019494,0.0002221422321320861,CD14/LBP/S100A8/S100A9,4,,
R-HSA-198933,C1,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,7/78,133/11009,4.151097755606464e-05,0.000874497927181095,0.0006758278451232981,CDH1/FCGR3A/ICAM1/ICAM2/ITGB1/PVR/VCAM1,7,,
R-HSA-1474228,C1,R-HSA-1474228,Degradation of the extracellular matrix,7/78,140/11009,5.7605322509027305e-05,0.0011377051195532893,0.000879239133032522,CDH1/CTSD/HSPG2/MMP2/NID1/SPP1/TIMP1,7,,
R-HSA-430116,C1,R-HSA-430116,GP1b-IX-V activation signalling,3/78,12/11009,7.189362312285774e-05,0.001336375582754297,0.0010327752671518884,FLNA/GP1BA/VWF,3,,
R-HSA-70263,C1,R-HSA-70263,Gluconeogenesis,4/78,35/11009,0.00010333643667156389,0.0018141285549007884,0.001401991421508937,ALDOA/ENO1/GAPDH/PGK1,4,,
R-HSA-977225,C1,R-HSA-977225,Amyloid fiber formation,6/78,110/11009,0.0001242898331707345,0.002067136172734321,0.001597520293385618,APOE/CST3/HSPG2/LYZ/SAA1/TGFBI,6,,
R-HSA-75892,C1,R-HSA-75892,Platelet Adhesion to exposed collagen,3/78,15/11009,0.00014642707592211218,0.0023135477995693725,0.0017879516638910542,GP1BA/ITGB1/VWF,3,,
R-HSA-70171,C1,R-HSA-70171,Glycolysis,5/78,73/11009,0.00016172827222813067,0.0024336254297185377,0.0018807498324273843,ALDOA/ENO1/GAPDH/PGK1/PKM,5,,
R-HSA-9651496,C1,R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),3/78,16/11009,0.0001792998868555836,0.002463424532450627,0.0019037791190158078,GP1BA/SERPING1/VWF,3,,
R-HSA-9671793,C1,R-HSA-9671793,Diseases of hemostasis,3/78,16/11009,0.0001792998868555836,0.002463424532450627,0.0019037791190158078,GP1BA/SERPING1/VWF,3,,
R-HSA-2173782,C1,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,4/78,42/11009,0.00021275973257268632,0.002737981984246971,0.0021159620930889314,APOE/COLEC11/MASP1/SAA1,4,,
R-HSA-5602498,C1,R-HSA-5602498,MyD88 deficiency (TLR2/4),3/78,17/11009,0.00021661249875371604,0.002737981984246971,0.0021159620930889314,CD14/S100A8/S100A9,3,,
R-HSA-5603041,C1,R-HSA-5603041,IRAK4 deficiency (TLR2/4),3/78,18/11009,0.0002586115909999699,0.0031431254906150187,0.002429064336517936,CD14/S100A8/S100A9,3,,
R-HSA-3000480,C1,R-HSA-3000480,Scavenging by Class A Receptors,3/78,19/11009,0.0003055381538541344,0.003575928022885425,0.002763541976380475,APOE/COLEC11/MASP1,3,,
R-HSA-449147,C1,R-HSA-449147,Signaling by Interleukins,11/78,473/11009,0.0004708139420342993,0.00531347163152995,0.0041063471636074225,GSTO1/HSPA8/ICAM1/ITGB1/LBP/LCN2/MMP2/SAA1/SOD2/TIMP1/VCAM1,11,,
R-HSA-70326,C1,R-HSA-70326,Glucose metabolism,5/78,93/11009,0.0005012515581583973,0.0054619135302777086,0.004221065752912819,ALDOA/ENO1/GAPDH/PGK1/PKM,5,,
R-HSA-140837,C1,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,3/78,23/11009,0.0005471442246527193,0.005763252499675311,0.004453945969102839,GP1BA/SERPING1/VWF,3,,
R-HSA-9635486,C1,R-HSA-9635486,Infection with Mycobacterium tuberculosis,3/78,27/11009,0.0008854431682361651,0.009025807779439619,0.006975307810892711,ENO1/MRC1/PGK1,3,,
R-HSA-3000157,C1,R-HSA-3000157,Laminin interactions,3/78,30/11009,0.0012104061405748348,0.011952760638176494,0.009237310020176371,HSPG2/ITGB1/NID1,3,,
R-HSA-5260271,C1,R-HSA-5260271,Diseases of Immune System,3/78,31/11009,0.00133329463095749,0.012391797158310791,0.009576605398827792,CD14/S100A8/S100A9,3,,
R-HSA-5602358,C1,R-HSA-5602358,Diseases associated with the TLR signaling cascade,3/78,31/11009,0.00133329463095749,0.012391797158310791,0.009576605398827792,CD14/S100A8/S100A9,3,,
R-HSA-9824439,C1,R-HSA-9824439,Bacterial Infection Pathways,4/78,73/11009,0.0017528229372309222,0.015825487090427755,0.012230223201130045,CDH1/ENO1/MRC1/PGK1,4,,
R-HSA-8964058,C1,R-HSA-8964058,HDL remodeling,2/78,10/11009,0.0021495149665345264,0.018867964706247513,0.014581505036140648,APOE/PLTP,2,,
R-HSA-2129379,C1,R-HSA-2129379,Molecules associated with elastic fibres,3/78,37/11009,0.002235521631821998,0.019092563125831116,0.01475507876479953,EFEMP1/FBLN1/ITGB1,3,,
R-HSA-140877,C1,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),3/78,39/11009,0.002602847841078331,0.02118934976833498,0.016375513478526702,GP1BA/SERPING1/VWF,3,,
R-HSA-351906,C1,R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,2/78,11/11009,0.0026151412688767855,0.02118934976833498,0.016375513478526702,CDH1/DSG2,2,,
R-HSA-1566948,C1,R-HSA-1566948,Elastic fibre formation,3/78,44/11009,0.003677571635184745,0.028675118013367862,0.022160650829784623,EFEMP1/FBLN1/ITGB1,3,,
R-HSA-166016,C1,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,5/78,146/11009,0.003720505818190134,0.028675118013367862,0.022160650829784623,CD14/LBP/S100A8/S100A9/SAA1,5,,
R-HSA-6803157,C1,R-HSA-6803157,Antimicrobial peptides,4/78,95/11009,0.004560201776257368,0.034310089554698296,0.0265154589496669,LCN2/LYZ/S100A8/S100A9,4,,
R-HSA-71387,C1,R-HSA-71387,Metabolism of carbohydrates,7/78,299/11009,0.005171873904317105,0.03800725938986524,0.02937269879563203,ALDOA/ENO1/GAPDH/HSPG2/LYVE1/PGK1/PKM,7,,
R-HSA-1236975,C1,R-HSA-1236975,Antigen processing-Cross presentation,4/78,105/11009,0.0064933575384958815,0.04663411323101588,0.03603968777346997,CD14/MRC1/S100A8/S100A9,4,,
R-HSA-168898,C1,R-HSA-168898,Toll-like Receptor Cascades,5/78,168/11009,0.0067172252561280114,0.04716984846525448,0.036453713670683015,CD14/LBP/S100A8/S100A9/SAA1,5,,
R-HSA-446353,C1,R-HSA-446353,Cell-extracellular matrix interactions,2/78,18/11009,0.007045057016396359,0.04839647863437499,0.03740167569345435,FLNA/ITGB1,2,,
GO:0006956,C1,GO:0006956,complement activation,11/87,67/18870,1.0840027895880082e-14,2.3371100143517456e-11,1.7332634077728258e-11,C1QA/C2/C4BPA/C7/C9/CFB/CFHR5/COLEC11/MASP1/MBL2/SERPING1,11,,
GO:0006959,C1,GO:0006959,humoral immune response,14/87,258/18870,1.2473814887155393e-11,1.3446772448353513e-08,9.972486743994232e-09,C1QA/C2/C4BPA/C7/C9/CFB/CFHR5/COLEC11/GAPDH/LYZ/MASP1/MBL2/S100A9/SERPING1,14,,
GO:0006958,C1,GO:0006958,"complement activation, classical pathway",7/87,42/18870,8.197610580281394e-10,5.891349470362228e-07,4.369182621560505e-07,C1QA/C2/C4BPA/C7/C9/MBL2/SERPING1,7,,
GO:0002455,C1,GO:0002455,humoral immune response mediated by circulating immunoglobulin,7/87,55/18870,5.875358809055847e-09,3.1668183980811012e-06,2.348597376567324e-06,C1QA/C2/C4BPA/C7/C9/MBL2/SERPING1,7,,
GO:0008228,C1,GO:0008228,opsonization,5/87,17/18870,1.0985238005283836e-08,4.73683462787839e-06,3.5129634800055055e-06,C4BPA/COLEC11/CRP/LBP/MBL2,5,,
GO:0016049,C1,GO:0016049,cell growth,14/87,497/18870,5.995942417520081e-08,2.103221891253874e-05,1.5598057088246435e-05,ALCAM/APOE/CDH1/ENO1/IGFBP7/ITGB1/MEGF8/NRP1/OLFM1/S100A8/S100A9/SPP1/TNC/VCL,14,,
GO:0042060,C1,GO:0042060,wound healing,13/87,423/18870,6.828642504071019e-08,2.103221891253874e-05,1.5598057088246435e-05,ANXA6/APOE/FBLN1/FGL1/FLNA/GP1BA/ITGB1/LRG1/SAA1/SERPING1/TIMP1/VCL/VWF,13,,
GO:0048675,C1,GO:0048675,axon extension,8/87,121/18870,8.664267893072702e-08,2.335020197183093e-05,1.731713543365452e-05,ALCAM/APOE/CDH1/ITGB1/MEGF8/NRP1/OLFM1/VCL,8,,
GO:0001867,C1,GO:0001867,"complement activation, lectin pathway",4/87,11/18870,1.3569540188290196e-07,2.9905952043578903e-05,2.217905534332407e-05,COLEC11/MASP1/MBL2/SERPING1,4,,
GO:0006909,C1,GO:0006909,phagocytosis,10/87,237/18870,1.387103527067667e-07,2.9905952043578903e-05,2.217905534332407e-05,ADIPOQ/C2/C4BPA/CD14/CD93/COLEC11/CRP/ITGB1/LBP/MBL2,10,,
GO:0060560,C1,GO:0060560,developmental growth involved in morphogenesis,10/87,244/18870,1.818066813791008e-07,3.5634109550303756e-05,2.6427210432043464e-05,ALCAM/APOE/CDH1/ITGB1/MEGF8/NRP1/OLFM1/SPP1/TNC/VCL,10,,
GO:0006910,C1,GO:0006910,"phagocytosis, recognition",5/87,29/18870,2.018455097046749e-07,3.626490991027326e-05,2.689502888082467e-05,C4BPA/COLEC11/CRP/LBP/MBL2,5,,
GO:0044403,C1,GO:0044403,biological process involved in symbiotic interaction,11/87,322/18870,2.660136600096056e-07,4.411734238313151e-05,3.271860320280089e-05,APOE/CFHR5/GAPDH/HSPA8/ICAM1/ITGB1/MBL2/MRC1/NRP1/PVR/SLC3A2,11,,
GO:0007566,C1,GO:0007566,embryo implantation,6/87,60/18870,3.3070863364056723e-07,5.092912958064735e-05,3.777040710526479e-05,FBLN1/HSPG2/IGFBP7/MMP2/SPP1/TIMP1,6,,
GO:0008037,C1,GO:0008037,cell recognition,8/87,154/18870,5.553065525545025e-07,7.98160618205005e-05,5.9193730058265923e-05,ALDOA/C4BPA/COLEC11/CRP/LBP/MBL2/MEGF8/NRP1,8,,
GO:0001906,C1,GO:0001906,cell killing,9/87,223/18870,8.826297162920666e-07,0.00011618923885051795,8.616905273603007e-05,C7/C9/CFHR5/FCGR3A/GAPDH/ICAM1/LYZ/MBL2/PVR,9,,
GO:0007596,C1,GO:0007596,blood coagulation,9/87,224/18870,9.161489148695757e-07,0.00011618923885051795,8.616905273603007e-05,APOE/FBLN1/FGL1/FLNA/GP1BA/SAA1/SERPING1/VCL/VWF,9,,
GO:0050817,C1,GO:0050817,coagulation,9/87,229/18870,1.1007943187343518e-06,0.00013185069728840346,9.778400995072987e-05,APOE/FBLN1/FGL1/FLNA/GP1BA/SAA1/SERPING1/VCL/VWF,9,,
GO:0007599,C1,GO:0007599,hemostasis,9/87,231/18870,1.1831957369724757e-06,0.00013233781641497526,9.814527054699124e-05,APOE/FBLN1/FGL1/FLNA/GP1BA/SAA1/SERPING1/VCL/VWF,9,,
GO:0006957,C1,GO:0006957,"complement activation, alternative pathway",4/87,18/18870,1.2276235288958745e-06,0.00013233781641497526,9.814527054699124e-05,C7/C9/CFB/CFHR5,4,,
GO:0048588,C1,GO:0048588,developmental cell growth,9/87,239/18870,1.5684645563018523e-06,0.0001610290277803235,0.00011942344165526386,ALCAM/APOE/CDH1/ITGB1/MEGF8/NRP1/OLFM1/SPP1/VCL,9,,
GO:1990138,C1,GO:1990138,neuron projection extension,8/87,179/18870,1.7301349510362835e-06,0.00016955322520155578,0.00012574521486239784,ALCAM/APOE/CDH1/ITGB1/MEGF8/NRP1/OLFM1/VCL,8,,
GO:0007565,C1,GO:0007565,female pregnancy,8/87,186/18870,2.304907960941974e-06,0.00021606006799090855,0.00016023593559134366,DSG2/FBLN1/HSPG2/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,8,,
GO:0097305,C1,GO:0097305,response to alcohol,9/87,254/18870,2.5883253304520878e-06,0.00022528874646154956,0.00016708017082076645,ADIPOQ/CD14/CDH1/H6PD/IGFBP7/S100A8/SOD2/TNC/VCAM1,9,,
GO:0030168,C1,GO:0030168,platelet activation,7/87,133/18870,2.6959967897119835e-06,0.00022528874646154956,0.00016708017082076645,APOE/FGL1/FLNA/GP1BA/SAA1/VCL/VWF,7,,
GO:0006953,C1,GO:0006953,acute-phase response,5/87,48/18870,2.7168401706865903e-06,0.00022528874646154956,0.00016708017082076645,CRP/LBP/MBL2/SAA1/SERPINA3,5,,
GO:0001558,C1,GO:0001558,regulation of cell growth,11/87,417/18870,3.337569668256066e-06,0.0002665111186948177,0.0001976517865918505,APOE/CDH1/ENO1/IGFBP7/MEGF8/NRP1/OLFM1/S100A8/S100A9/SPP1/TNC,11,,
GO:0031640,C1,GO:0031640,killing of cells of another organism,6/87,92/18870,4.18722755303996e-06,0.0003112987104949708,0.00023086746472115066,C7/C9/CFHR5/GAPDH/LYZ/MBL2,6,,
GO:0141061,C1,GO:0141061,disruption of cell in another organism,6/87,92/18870,4.18722755303996e-06,0.0003112987104949708,0.00023086746472115066,C7/C9/CFHR5/GAPDH/LYZ/MBL2,6,,
GO:0016064,C1,GO:0016064,immunoglobulin mediated immune response,8/87,205/18870,4.742825588264871e-06,0.0003408510656099687,0.00025278428310787155,C1QA/C2/C4BPA/C7/C9/FCGR3A/MBL2/SERPING1,8,,
GO:0044703,C1,GO:0044703,multi-organism reproductive process,8/87,206/18870,4.916093985711314e-06,0.0003419064075223739,0.00025356695294721516,DSG2/FBLN1/HSPG2/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,8,,
GO:0019724,C1,GO:0019724,B cell mediated immunity,8/87,208/18870,5.278770773232469e-06,0.0003556571808465376,0.0002637648948861882,C1QA/C2/C4BPA/C7/C9/FCGR3A/MBL2/SERPING1,8,,
GO:0031589,C1,GO:0031589,cell-substrate adhesion,10/87,356/18870,5.5507456911683824e-06,0.00036264871848966764,0.0002689500065353995,FBLN1/FGL1/FLNA/ITGB1/LYVE1/NID1/NRP1/VCAM1/VCL/VWF,10,,
GO:0141060,C1,GO:0141060,disruption of anatomical structure in another organism,6/87,99/18870,6.412726266239311e-06,0.00040664228911799867,0.00030157681728846793,C7/C9/CFHR5/GAPDH/LYZ/MBL2,6,,
GO:0044706,C1,GO:0044706,multi-multicellular organism process,8/87,216/18870,6.965020690397699e-06,0.00042125450320218893,0.000312413626776743,DSG2/FBLN1/HSPG2/IGFBP2/IGFBP7/MMP2/SPP1/TIMP1,8,,
GO:0052548,C1,GO:0052548,regulation of endopeptidase activity,9/87,288/18870,7.1831135750182736e-06,0.00042125450320218893,0.000312413626776743,CST3/CTSD/GAPDH/S100A8/S100A9/SERPINA11/SERPINA3/SERPING1/TIMP1,9,,
GO:0007584,C1,GO:0007584,response to nutrient,7/87,155/18870,7.424554226161139e-06,0.00042125450320218893,0.000312413626776743,ADIPOQ/C2/IGFBP2/SOD2/SPP1/TNC/VCAM1,7,,
GO:0002449,C1,GO:0002449,lymphocyte mediated immunity,10/87,368/18870,7.424708312469007e-06,0.00042125450320218893,0.000312413626776743,C1QA/C2/C4BPA/C7/C9/FCGR3A/ICAM1/MBL2/PVR/SERPING1,10,,
GO:0002460,C1,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,10/87,380/18870,9.823558674146911e-06,0.0005413231053432321,0.0004014597192736889,C1QA/C2/C4BPA/C7/C9/FCGR3A/ICAM1/MBL2/PVR/SERPING1,10,,
GO:0002526,C1,GO:0002526,acute inflammatory response,6/87,107/18870,1.0043100284661079e-05,0.0005413231053432321,0.0004014597192736889,CRP/FCGR3A/LBP/MBL2/SAA1/SERPINA3,6,,
GO:0061387,C1,GO:0061387,regulation of extent of cell growth,6/87,109/18870,1.117092245082926e-05,0.0005874270439997044,0.0004356516355021732,APOE/CDH1/MEGF8/NRP1/OLFM1/SPP1,6,,
GO:0007162,C1,GO:0007162,negative regulation of cell adhesion,9/87,312/18870,1.3629839618582211e-05,0.0006707840933356593,0.0004974714567800345,ADIPOQ/CDH1/FBLN1/FGL1/HSPG2/MMP2/PODXL/TGFBI/TNC,9,,
GO:0052547,C1,GO:0052547,regulation of peptidase activity,9/87,312/18870,1.3629839618582211e-05,0.0006707840933356593,0.0004974714567800345,CST3/CTSD/GAPDH/S100A8/S100A9/SERPINA11/SERPINA3/SERPING1/TIMP1,9,,
GO:0051651,C1,GO:0051651,maintenance of location in cell,8/87,237/18870,1.3689471292564476e-05,0.0006707840933356593,0.0004974714567800345,ANXA6/APOE/FLNA/GP1BA/GSTO1/S100A8/S100A9/TMSB4X,8,,
GO:0050900,C1,GO:0050900,leukocyte migration,10/87,396/18870,1.4045211808743803e-05,0.0006729217035478142,0.0004990567657890489,GP1BA/ICAM1/ITGB1/LBP/LYVE1/MMP2/S100A8/S100A9/SAA1/VCAM1,10,,
GO:1903027,C1,GO:1903027,regulation of opsonization,3/87,11/18870,1.5207592170508972e-05,0.0007127732330351596,0.0005286117278490419,C4BPA/COLEC11/MBL2,3,,
GO:0001667,C1,GO:0001667,ameboidal-type cell migration,11/87,497/18870,1.743957616799298e-05,0.0007999941748551673,0.0005932971153232102,ANXA6/APOE/FLT4/FSTL1/ITGB1/LRG1/MEGF8/NRP1/S100A9/TIMP1/TMSB4X,11,,
GO:0045471,C1,GO:0045471,response to ethanol,6/87,121/18870,2.0287164404548136e-05,0.0009112318011709537,0.0006757939195286978,ADIPOQ/CD14/S100A8/SOD2/TNC/VCAM1,6,,
GO:0045123,C1,GO:0045123,cellular extravasation,5/87,74/18870,2.326535012781955e-05,0.0010236754056240603,0.0007591851094341118,GP1BA/ICAM1/ITGB1/LYVE1/VCAM1,5,,
GO:0005996,C1,GO:0005996,monosaccharide metabolic process,8/87,261/18870,2.738393959688193e-05,0.0011568706623631226,0.0008579662806999236,ADIPOQ/ALDOA/ENO1/GAPDH/GSTO1/H6PD/PGK1/PKM,8,,
GO:0090504,C1,GO:0090504,epiboly,4/87,38/18870,2.7601931661631776e-05,0.0011568706623631226,0.0008579662806999236,FLNA/ITGB1/LRG1/MEGF8,4,,
GO:0010951,C1,GO:0010951,negative regulation of endopeptidase activity,6/87,128/18870,2.7902260873322068e-05,0.0011568706623631226,0.0008579662806999236,CST3/GAPDH/SERPINA11/SERPINA3/SERPING1/TIMP1,6,,
