107,LECT2,ATP6AP1,GSTO1,CSNK2A1P,HLA-A,COX20,SERPINA3,C2,Serine/threonine-protein,BICC1,ITGB1,CAD
108,LRG1,ATP6V0A1,H6PD,CSTF2,HLA-C,CPB2,SERPIND1,C22orf28,TAGLN2,BIN2,ITIH3,CALCOCO2
109,LTF,ATP6V1A,HBA1,CTNNBL1,HNF4A,CPNE1,SH3BGRL3,C2orf47,THBS1,BLOC1S2,ITIH5,CALR
110,MAN2A1,ATP6V1B2,HBB,CTPS1,HPX,CPOX,SHBG,C3orf58,TIMP1,BLOC1S4,LAMB3,CALU
111,MARCKS,ATP6V1G1,HBD,CTPS2,HSPA1L,CRTAP,SPARC,C5,TPI1,BLOC1S5,LCN2,CAMK1D
112,MASP1,ATPAF1,HEXB,CTR9,HSPA5,CSDE1,SPG11,C8A,TPM1,BLVRA,LCP1,CANX
113,MASP2,ATPAF2,HLA-A,CUL2,HSPA8,CSE1L,Serine/threonine-protein,C9orf64,TPM2,BMP2K,LDHB,CAPRIN1
114,MRC1,ATRX,HLA-C,CYP27A1,HSPG2,CSTF1,TAGLN2,CA2,TPM4,BOLA2,LECT2,CARM1
115,MSL1,ATXN10,HNF4A,DAAM1,ICAM1,CSTF3,TFRC,CALR,TTN,BOLA2B,LRG1,CARS
116,MYH9,ATXN2L,HPX,DCTPP1,ICAM2,CTNNBL1,THBS1,CALU,TUBA4A,BRAF,LTA4H,CBLB
117,MYL6,ATXN3,HSP90B1,DCUN1D5,IDH1,CTPS1,TIMP1,CAND1,TUBB,BRAP,LTF,CBX1
118,NAGLU,ATXN7L3B,HSPA1A,DDX1,IGF1,CTSE,TMSB10,CANX,TXN,BRIX1,MAN2A1,CBX3
119,NAP1L1,BAG6,HSPA1L,DDX18,IGFBP2,CTTN,TNC,CAP1,VCL,BTN1A1,MANBA,CBX5
120,NID1,BAK1,HSPA8,DDX20,IL18BP,CTTNBP2NL,TPM1,CAPRIN1,VWF,BTN3A1,MARCKS,CC2D1B
121,OAF,BASP1,HSPG2,DDX21,INPP5F,CUL1,TPM2,CAPZB,YWHAB,BTN3A3,MASP2,CCDC115
122,PAFAH1B3,BAX,ICAM1,DDX25,ITGA2B,CUL4A,TPM4,CARM1,YWHAE,BUB3,MFGE8,CCDC134
123,PDLIM1,BAZ1B,ICAM2,DDX27,ITGB3,CUL4B,TTN,CASK,YWHAH,BYSL,MRC1,CCDC47
124,PFN1,BAZ2A,ICAM3,DDX39A,ITIH1,CXorf26,TUBA4A,CBFB,YWHAQ,BZW1,MSL1,CCNH
125,PGK1,BCAS2,IDH1,DDX39B,ITIH2,CXorf38,TXN,CBX3,YWHAZ,BZW2,MSN,CD109
126,PKM,BCCIP,IGF1,DDX3X,ITIH3,CYB5B,VCL,CC2D1B,ZNF512B,C11orf58,MST1,CD276
127,PLA2G7,BCL2,IGF2R,DDX3Y,ITIH4,CYP2S1,VWF,CCDC134,ZYX,C11orf68,MTPN,CD3D
128,PLTP,BCL2L2-PABPN1,IL18BP,DDX47,ITIH5,DARS,WDR7,CCDC50,,C17orf49,MYH9,CDC40
129,PNP,BCL7A,IL1RAP,DDX5,LAMB3,DBN1,YWHAB,CCNH,,C20orf27,MYL6,CDC5L
130,POTEI,BCL7C,INPP5F,DDX50,LBP,DCTD,YWHAE,CCS,,C5orf51,NAP1L1,CDC73
131,PPBP,BCLAF1,ITGA2B,DDX54,LCN2,DCUN1D5,YWHAH,CCT8,,C7orf50,NEO1,CDH5
132,PRDX2,BCR,ITGB1,DFNA5,LCP1,DDX17,YWHAQ,CD163,,CACYBP,NID1,CDIPT
133,PROS1,BDH1,ITGB3,DHX16,LDHB,DDX18,YWHAZ,CD55,,CAD,NME2,CDK11B
134,PSMA1,BIRC6,ITIH1,DHX38,LGALS3BP,DDX19A,ZNF512B,CDC23,,CALCRL,NRP1,CDK3
135,PSMB1,BLMH,ITIH2,DHX40,LRG1,DDX19B,ZYX,CDC42BPB,,CALU,OAF,CDK4
136,PTGDS,BPHL,ITIH3,DHX9,MAN1A1,DDX20,,CDC42EP1,,CAMK1,OGN,CDKN2A
137,PZP,BRAP,ITIH4,DICER1,MARCKS,DDX21,,CDC5L,,CAND1,PARK7,CDKN2B
138,RCN1,BRAT1,ITIH5,DIEXF,MASP2,DDX26B,,CDH2,,CANX,PEBP4,CEBPZ
139,RNASEH2C,BRD2,LAMB3,DIS3,MFGE8,DDX27,,CDH3,,CAP1,PEPD,CENPC1
140,ROBO4,BRD3,LAMP2,DNAJA1,MRC1,DDX39A,,CDK1,,CAP2,PFN1,CEPT1
141,RSU1,BRD4,LBP,DNAJB2,MSL1,DDX39B,,CDK12,,CAPG,PGK1,CERS2
142,S100A8,BRI3BP,LCP1,DNM1L,MTPN,DDX47,,CDK2,,CAPN1,PKM,CFL1
143,S100A9,BRIX1,LDHB,DNMT1,MYH9,DDX50,,CERS2,,CAPNS2,PLA2G7,CHAMP1
144,SAA1,BRMS1L,LECT2,DPP3,MYL6,DDX54,,CFDP1,,CAPZA1,PLXDC2,CHD1
145,SAA2,BRWD1,LRG1,DUSP22,NAP1L1,DDX6,,CFH,,CAPZB,PLXNB1,CHD4
146,SDC1,BSG,LRP1,DUT,NRP1,DEK,,CFHR1,,CARHSP1,PNP,CHD5
147,SEPTIN2,BTAF1,LTA4H,EBF1,OAF,DENR,,CFI,,CASP1,POTEI,CHD7
148,SERPINA10,BTF3,MAN1A1,EBI3,PARK7,DFNA5,,CFL1,,CASP10,PPBP,CHD8
149,SERPINA11,BTF3L4,MANBA,EEF1A1,PCBP2,DHCR7,,CFL2,,CASP3,PPIA,CHD9
150,SERPINA3,BUD31,MARCKS,EEF1G,PDLIM1,DHX15,,CHERP,,CASP7,PRDX2,CHMP4B
151,SERPIND1,BYSL,MASP1,EEF2,PFN1,DHX9,,CIAPIN1,,CAV1,PROS1,CHMP5
152,SERPING1,BZW1,MASP2,EFTUD1,PKM,DIMT1,,CISD1,,CBFB,PRSS1,CHMP7
153,SH3BGRL3,BZW2,MINPP1,EFTUD2,PLTP,DIS3,,CKAP4,,CCAR1,PRSS57,CHORDC1
154,SOD1,C11orf10,MRC1,EIF2B5,PNP,DKC1,,CLIC4,,CCDC50,PSMA4,CHURC1-FNTB
155,SPARC,C11orf31,MRPS21,EIF2D,POTEI,DNAJA1,,CLPTM1,,CCT4,PTGDS,CKAP4
156,SPG11,C11orf73,MSL1,EIF3A,PPBP,DNAJA2,,CLTA,,CCT5,PTPRG,CKAP5
157,SPP1,C11orf84,MSN,EIF3D,PRDX2,DNAJB6,,CNIH4,,CCT8,PZP,CLASP1
158,SRGN,C12orf10,MST1,EIF3G,PROS1,DOCK9,,CNN2,,CCZ1,RNASEH2C,CLCN7
159,Serine/threonine-protein,C12orf5,MYH9,EIF3I,PSMB2,DPYSL3,,COL12A1,,CCZ1B,ROBO4,CLNS1A
160,TAGLN2,C12orf51,MYL6,EIF3M,PTGDS,DR1,,COL1A1,,CD151,S100A8,CLPB
161,TFRC,C14orf169,NAP1L1,EIF4A1,PZP,DSTN,,COL1A2,,CD163,S100A9,CLPTM1
162,THBS1,C16orf55,NECTIN1,EIF4A2,RCN1,DUSP12,,COL3A1,,CD200,SAA1,CMTM6
163,THBS4,C17orf75,NID1,EIF4A3,RNASEH2C,DYNLRB1,,COL5A1,,CD2AP,SAA2,CNBP
164,TIMP1,C17orf85,NRCAM,EIF4G2,ROBO4,EEF1G,,COL5A2,,CD302,SERPINA10,CNIH4
165,TKT,C19orf42,NRP1,EIF5,RSU1,EFEMP1,,COLGALT1,,CD36,SERPINA11,CNOT1
166,TMSB10,C19orf43,OAF,EIF5AL1,S100A9,EIF2S1,,COPA,,CD63,SERPINA3,CNOT3
167,TMSB4X,C1orf122,OSMR,EIF5B,SAA1,EIF2S3,,COPB2,,CD74,SERPINA4,CNPY2
168,TPI1,C22orf28,PARK7,ELAC2,SAA2,EIF4G1,,COPE,,CD93,SERPING1,COG5
169,TPM1,C3orf58,PCSK9,ELOVL5,SAA4,EIF4H,,COPS4,,CDC23,SH3BGRL3,COG8
170,TPM2,C6orf130,PDLIM1,ELP3,SEPTIN2,EIF5B,,CPB2,,CDC37,SLC4A1,COLGALT1
171,TPM4,C7orf50,PECAM1,ENO1,SERPINA10,EIF6,,CPNE1,,CDC42SE2,SOD1,COMMD7
172,TTN,C7orf55-LUC7L2,PFN1,ERCC1,SERPINA11,ELF1,,CPSF1,,CDC5L,SPARC,COMMD9
173,TUBA4A,C8orf33,PKM,EXOSC10,SERPINA3,EMG1,,CPSF6,,CDH10,SRGN,COMP
174,TXN,C9orf142,PLA2G7,EXOSC2,SERPINA6,ENGASE,,CPSF7,,CDK18,TAGLN2,COPA
175,VTN,C9orf64,PLEK,EXOSC3,SERPIND1,ENO3,,CPVL,,CDK4,TGFBI,COPB1
176,VWF,C9orf78,PLTP,EXOSC5,SERPING1,EPS8,,CREBBP,,CDK6,THBS1,COPG2
177,YWHAB,CACYBP,PLXDC2,EXOSC6,SH3BGRL3,EPS8L1,,CRIP1,,CDK7,TIMP1,CORO1C
178,YWHAE,CAD,PNP,FABP5,SHBG,ERCC2,,CRLF3,,CDV3,TMSB10,COX20
179,YWHAH,CADM1,PON3,FAM160B1,SOD1,ERO1L,,CRNKL1,,CEBPZ,TNC,CPNE3
180,YWHAQ,CALML5,POTEI,FAM207A,SPARC,EVPL,,CSDE1,,CELF2,TPI1,CPSF1
181,YWHAZ,CALR,PPBP,FAM49B,Serine/threonine-protein,EXOSC3,,CSE1L,,CENPF,TPM2,CPSF2
182,ZNF512B,CAMK1,PRDX2,FAM53C,TAGLN2,EXOSC5,,CSTF1,,CEPT1,TPM4,CPSF6
183,ZYX,CAMK1D,PRG4,FAM96B,TFRC,F12,,CTBS,,CHD1,TTN,CSNK1D
184,,CAMSAP1,PROC,FAM98A,THBS1,FA2H,,CTPS1,,CHD2,TUBA4A,CSNK2A1
185,,CAMSAP3,PROS1,FARSB,TIMP1,FAM160B1,,CTSA,,CHD3,TXN,CSNK2A1P
186,,CAND1,PSMB1,FBXL18,TNC,FAM192A,,CTSB,,CHERP,VASN,CSNK2B
187,,CAPRIN1,PSMB2,FBXO46,TNXB,FAM203A,,CTSC,,CHMP4A,VTN,CSRP2
188,,CARHSP1,PTGDS,FCRLA,TPI1,FAM203B,,CTSD,,CHST14,VWF,CSTF2
189,,CARM1,PTPRG,FLAD1,TPM1,FAM49B,,CTSL,,CIAO1,WDR1,CTBS
190,,CARS,PZP,FLT4,TPM2,FBL,,CTSZ,,CIC,WIF1,CTPS1
191,,CASP3,RCN1,FN1,TPM4,FBLN1,,CUX1,,CKAP4,YWHAB,CTR9
192,,CASP6,RNASEH2C,FUBP3,TTN,FBLN2,,CWF19L1,,CLCC1,YWHAE,CTSA
193,,CBFB,RSU1,FUS,TUBA4A,FGA,,CYB5B,,CLIC1,YWHAG,CUL1
194,,CBLL1,S100A8,G3BP1,TUBB,FGB,,CYB5R3,,CLN6,YWHAH,CWC22
195,,CBX1,S100A9,GABARAPL2,TXN,FGG,,CYBB,,CLNS1A,YWHAQ,CXorf26
196,,CBX3,SAA1,GAPDH,VASN,FHL2,,CYP2S1,,CLPTM1L,YWHAZ,CYTH1
197,,CBX5,SAA2,GARS,VCL,FILIP1L,,DAB2,,CMAS,ZNF512B,CYTH3
198,,CBX8,SAA4,GATAD2A,VTN,FKBP10,,DAD1,,CMTM8,ZYX,DAP3
199,,CCAR1,SEMA4B,GATAD2B,VWF,FKBP9,,DARS,,CNIH4,,DARS
200,,CCDC124,SEPTIN2,GCHFR,WDR1,FMR1,,DCN,,CNNM4,,DDTL
201,,CCDC47,SERPINA10,GCN1L1,YWHAB,FN1,,DDX17,,CNOT10,,DDX17
202,,CCDC71L,SERPINA11,GDI2,YWHAE,FNDC3B,,DDX19A,,CNOT3,,DDX18
203,,CCDC75,SERPINA3,GINS3,YWHAG,FOXK1,,DDX19B,,CNOT6L,,DDX19A
204,,CCDC88C,SERPINA5,GINS4,YWHAH,FSTL1,,DDX21,,COG2,,DDX19B
205,,CCNH,SERPINA6,GLE1,YWHAQ,FTH1,,DDX23,,COG5,,DDX21
206,,CCNK,SERPIND1,GLMN,YWHAZ,FTL,,DDX39A,,COG6,,DDX23
207,,CCT2,SERPING1,GLS,ZNF512B,FTSJ3,,DDX39B,,COG7,,DDX24
208,,CCT3,SH3BGRL3,GLTSCR2,ZYX,FUBP3,,DDX42,,COG8,,DDX27
209,,CCT4,SH3KBP1,GMPS,,G3BP1,,DDX47,,COLGALT1,,DDX39A
210,,CCT5,SHBG,GNB2L1,,G6PD,,DDX58,,COPA,,DDX39B
211,,CCT6A,SLC4A1,GNL2,,GAR1,,DDX60,,COPB1,,DDX3X
212,,CCT7,SOD1,GOSR1,,GARS,,DEK,,COPB2,,DDX3Y
