,Tumor type,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
R-HSA-1566948,discovery_tumor_CECA,R-HSA-1566948,Elastic fibre formation,2/17,44/11009,0.002043809038866739,0.02089227017508222,0.013147309606745103,FN1/VTN,2.0,,
R-HSA-977606,discovery_tumor_CECA,R-HSA-977606,Regulation of Complement cascade,2/17,47/11009,0.0023291262015399964,0.021427961054167964,0.013484414851021032,CFP/VTN,2.0,,
R-HSA-166658,discovery_tumor_CECA,R-HSA-166658,Complement cascade,2/17,58/11009,0.003526210033064404,0.027957492004960456,0.017593387417309213,CFP/VTN,2.0,,
R-HSA-3000171,discovery_tumor_CECA,R-HSA-3000171,Non-integrin membrane-ECM interactions,2/17,59/11009,0.003646629391951364,0.027957492004960456,0.017593387417309213,FN1/VTN,2.0,,
R-HSA-6798695,discovery_tumor_CECA,R-HSA-6798695,Neutrophil degranulation,4/17,480/11009,0.005398847201425765,0.038207226348551566,0.02404344907517547,CFP/COTL1/PRSS2/TXNDC5,4.0,,
R-HSA-3000178,discovery_tumor_CECA,R-HSA-3000178,ECM proteoglycans,2/17,76/11009,0.0059813116361175965,0.03930576218020135,0.0247347473674036,FN1/VTN,2.0,,
R-HSA-216083,discovery_tumor_CECA,R-HSA-216083,Integrin cell surface interactions,2/17,85/11009,0.007431564618749812,0.04558026299499885,0.028683231861841376,FN1/VTN,2.0,,
GO:0042060,discovery_tumor_CECA,GO:0042060,wound healing,5/21,423/18870,8.361811477471816e-05,0.011583673343351449,0.008616627188738622,F13A1/F13B/FN1/HGFAC/VTN,5.0,,
GO:0007596,discovery_tumor_CECA,GO:0007596,blood coagulation,4/21,224/18870,9.87210932069296e-05,0.011583673343351449,0.008616627188738622,F13A1/F13B/HGFAC/VTN,4.0,,
GO:0050817,discovery_tumor_CECA,GO:0050817,coagulation,4/21,229/18870,0.00010750927193689106,0.011583673343351449,0.008616627188738622,F13A1/F13B/HGFAC/VTN,4.0,,
GO:0007599,discovery_tumor_CECA,GO:0007599,hemostasis,4/21,231/18870,0.00011117911193701158,0.011583673343351449,0.008616627188738622,F13A1/F13B/HGFAC/VTN,4.0,,
GO:0072378,discovery_tumor_CECA,GO:0072378,"blood coagulation, fibrin clot formation",2/21,16/18870,0.00014022575443762414,0.011583673343351449,0.008616627188738622,F13A1/F13B,2.0,,
GO:0045785,discovery_tumor_CECA,GO:0045785,positive regulation of cell adhesion,5/21,482/18870,0.00015444897791135265,0.011583673343351449,0.008616627188738622,ABI3BP/CCDC88B/FN1/PRSS2/VTN,5.0,,
GO:0072376,discovery_tumor_CECA,GO:0072376,protein activation cascade,2/21,19/18870,0.00019941979856726564,0.012819844193609936,0.00953616480366774,F13A1/F13B,2.0,,
GO:0010811,discovery_tumor_CECA,GO:0010811,positive regulation of cell-substrate adhesion,3/21,123/18870,0.00032988661571461806,0.01638818623753127,0.012190510464409228,ABI3BP/FN1/VTN,3.0,,
GO:0030198,discovery_tumor_CECA,GO:0030198,extracellular matrix organization,4/21,321/18870,0.0003912905867888294,0.01638818623753127,0.012190510464409228,ABI3BP/PRSS1/PRSS2/VTN,4.0,,
GO:0043062,discovery_tumor_CECA,GO:0043062,extracellular structure organization,4/21,322/18870,0.00039592569633258186,0.01638818623753127,0.012190510464409228,ABI3BP/PRSS1/PRSS2/VTN,4.0,,
GO:0045229,discovery_tumor_CECA,GO:0045229,external encapsulating structure organization,4/21,323/18870,0.00040060010802854225,0.01638818623753127,0.012190510464409228,ABI3BP/PRSS1/PRSS2/VTN,4.0,,
GO:0018149,discovery_tumor_CECA,GO:0018149,peptide cross-linking,2/21,28/18870,0.0004381688878480576,0.016431333294302162,0.012222605818919503,F13A1/FN1,2.0,,
GO:0050878,discovery_tumor_CECA,GO:0050878,regulation of body fluid levels,4/21,365/18870,0.0006350329689152543,0.02198191046245111,0.016351456203647845,F13A1/F13B/HGFAC/VTN,4.0,,
GO:0048483,discovery_tumor_CECA,GO:0048483,autonomic nervous system development,2/21,46/18870,0.0011853549563511608,0.03810069502557303,0.02834156963305783,FN1/NRP2,2.0,,
GO:0035987,discovery_tumor_CECA,GO:0035987,endodermal cell differentiation,2/21,49/18870,0.0013441328512811212,0.04032398553843364,0.029995385733852388,FN1/VTN,2.0,,
GO:0010810,discovery_tumor_CECA,GO:0010810,regulation of cell-substrate adhesion,3/21,220/18870,0.0017803980572389726,0.04820881408663604,0.035860591531111714,ABI3BP/FN1/VTN,3.0,,
GO:0001706,discovery_tumor_CECA,GO:0001706,endoderm formation,2/21,58/18870,0.0018779708788844963,0.04820881408663604,0.035860591531111714,FN1/VTN,2.0,,
GO:0001755,discovery_tumor_CECA,GO:0001755,neural crest cell migration,2/21,59/18870,0.0019425628988148636,0.04820881408663604,0.035860591531111714,FN1/NRP2,2.0,,
GO:0090497,discovery_tumor_CECA,GO:0090497,mesenchymal cell migration,2/21,61/18870,0.0020748866225958366,0.04820881408663604,0.035860591531111714,FN1/NRP2,2.0,,
GO:0022617,discovery_tumor_CECA,GO:0022617,extracellular matrix disassembly,2/21,62/18870,0.002142613959406046,0.04820881408663604,0.035860591531111714,PRSS1/PRSS2,2.0,,
HALLMARK_COAGULATION,discovery_tumor_CHOL,HALLMARK_COAGULATION,HALLMARK_COAGULATION,7/26,138/4383,1.0500991907926097e-05,0.0002625247976981524,0.0002625247976981524,C1R/C8A/GSN/MASP2/PROS1/SERPING1/VWF,7.0,,
hsa04610,discovery_tumor_CHOL,hsa04610,Complement and coagulation cascades,6/28,88/8843,2.5835564516975845e-07,2.8677476613843187e-05,2.6107517827680857e-05,C1R/C8A/MASP2/PROS1/SERPING1/VWF,6.0,Organismal Systems,Immune system
hsa05203,discovery_tumor_CHOL,hsa05203,Viral carcinogenesis,5/28,205/8843,0.00040570489612384755,0.022516621734873538,0.020498773698889142,GSN/HLA-A/PKM/YWHAQ/YWHAZ,5.0,Human Diseases,Cancer: overview
R-HSA-166658,discovery_tumor_CHOL,R-HSA-166658,Complement cascade,6/32,58/11009,1.33665035445931e-08,2.9940967939888546e-06,2.1386405671348964e-06,C1R/C8A/CPN2/MASP2/PROS1/SERPING1,6.0,,
R-HSA-114608,discovery_tumor_CHOL,R-HSA-114608,Platelet degranulation,7/32,129/11009,6.79418577717093e-08,6.595540188221357e-06,4.711100134443826e-06,A1BG/ITIH3/ITIH4/PROS1/SERPING1/TMSB4X/VWF,7.0,,
R-HSA-76005,discovery_tumor_CHOL,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,7/32,134/11009,8.833312752082174e-08,6.595540188221357e-06,4.711100134443826e-06,A1BG/ITIH3/ITIH4/PROS1/SERPING1/TMSB4X/VWF,7.0,,
R-HSA-977606,discovery_tumor_CHOL,R-HSA-977606,Regulation of Complement cascade,5/32,47/11009,2.1052482985424946e-07,1.178939047183797e-05,8.42099319416998e-06,C1R/C8A/CPN2/PROS1/SERPING1,5.0,,
R-HSA-76002,discovery_tumor_CHOL,R-HSA-76002,"Platelet activation, signaling and aggregation",8/32,263/11009,6.102455089041573e-07,2.7338998798906244e-05,1.9527856284933033e-05,A1BG/ITIH3/ITIH4/PROS1/SERPING1/TMSB4X/VWF/YWHAZ,8.0,,
R-HSA-140837,discovery_tumor_CHOL,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,3/32,23/11009,3.797991848926222e-05,0.0014179169569324562,0.0010127978263803257,PROS1/SERPING1/VWF,3.0,,
R-HSA-140877,discovery_tumor_CHOL,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),3/32,39/11009,0.00018989411411404996,0.006076611651649599,0.004340436894035428,PROS1/SERPING1/VWF,3.0,,
R-HSA-9614399,discovery_tumor_CHOL,R-HSA-9614399,Regulation of localization of FOXO transcription factors,2/32,11/11009,0.00044290852483513124,0.011883779926063187,0.008488414232902277,YWHAQ/YWHAZ,2.0,,
R-HSA-430116,discovery_tumor_CHOL,R-HSA-430116,GP1b-IX-V activation signalling,2/32,12/11009,0.0005305258895563923,0.011883779926063187,0.008488414232902277,VWF/YWHAZ,2.0,,
R-HSA-9755779,discovery_tumor_CHOL,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,2/32,12/11009,0.0005305258895563923,0.011883779926063187,0.008488414232902277,YWHAQ/YWHAZ,2.0,,
R-HSA-75035,discovery_tumor_CHOL,R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,2/32,13/11009,0.0006258477183756316,0.012744535356012861,0.009103239540009187,YWHAQ/YWHAZ,2.0,,
R-HSA-166786,discovery_tumor_CHOL,R-HSA-166786,Creation of C4 and C2 activators,2/32,14/11009,0.0007288312978046145,0.013406591846900386,0.009576137033500276,C1R/MASP2,2.0,,
R-HSA-111447,discovery_tumor_CHOL,R-HSA-111447,Activation of BAD and translocation to mitochondria,2/32,15/11009,0.0008394340842330122,0.013406591846900386,0.009576137033500276,YWHAQ/YWHAZ,2.0,,
R-HSA-9735871,discovery_tumor_CHOL,R-HSA-9735871,SARS-CoV-1 targets host intracellular signalling and regulatory pathways,2/32,15/11009,0.0008394340842330122,0.013406591846900386,0.009576137033500276,YWHAQ/YWHAZ,2.0,,
R-HSA-9651496,discovery_tumor_CHOL,R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),2/32,16/11009,0.0009576137033500276,0.013406591846900386,0.009576137033500276,SERPING1/VWF,2.0,,
R-HSA-9671793,discovery_tumor_CHOL,R-HSA-9671793,Diseases of hemostasis,2/32,16/11009,0.0009576137033500276,0.013406591846900386,0.009576137033500276,SERPING1/VWF,2.0,,
R-HSA-1445148,discovery_tumor_CHOL,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,3/32,72/11009,0.001161158496402161,0.015299970776122591,0.01092855055437328,ACTB/YWHAQ/YWHAZ,3.0,,
R-HSA-166663,discovery_tumor_CHOL,R-HSA-166663,Initial triggering of complement,2/32,23/11009,0.0019934981976723622,0.02480797757103384,0.017719983979309885,C1R/MASP2,2.0,,
R-HSA-6798695,discovery_tumor_CHOL,R-HSA-6798695,Neutrophil degranulation,6/32,480/11009,0.0022933679954381912,0.0270376016304292,0.019312572593163716,A1BG/CAMP/CHI3L1/GSN/LCN2/PKM,6.0,,
R-HSA-9705683,discovery_tumor_CHOL,R-HSA-9705683,SARS-CoV-2-host interactions,4/32,203/11009,0.002693263380334084,0.03016454985974174,0.021546107042672673,HLA-A/MASP2/YWHAQ/YWHAZ,4.0,,
R-HSA-114452,discovery_tumor_CHOL,R-HSA-114452,Activation of BH3-only proteins,2/32,30/11009,0.0033843642145717752,0.03609988495543227,0.025785632111023055,YWHAQ/YWHAZ,2.0,,
R-HSA-6802948,discovery_tumor_CHOL,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,2/32,36/11009,0.004848559388128052,0.04936715013366744,0.03526225009547674,ACTB/VWF,2.0,,
GO:0006959,discovery_tumor_CHOL,GO:0006959,humoral immune response,8/41,258/18870,7.0874238766345e-08,7.470144765972763e-05,6.0653427491619466e-05,C1R/C8A/CAMP/GAPDH/HLA-A/MASP2/RNASE4/SERPING1,8.0,,
GO:0006958,discovery_tumor_CHOL,GO:0006958,"complement activation, classical pathway",4/41,42/18870,2.022023939224243e-06,0.0010656066159711762,0.0008652134013627947,C1R/C8A/MASP2/SERPING1,4.0,,
GO:0002455,discovery_tumor_CHOL,GO:0002455,humoral immune response mediated by circulating immunoglobulin,4/41,55/18870,6.036813759085091e-06,0.0013361444474177385,0.0010848750981230614,C1R/C8A/MASP2/SERPING1,4.0,,
GO:0006022,discovery_tumor_CHOL,GO:0006022,aminoglycan metabolic process,5/41,121/18870,6.215718553381058e-06,0.0013361444474177385,0.0010848750981230614,B4GALT5/CHI3L1/ITIH3/ITIH4/ITIH5,5.0,,
GO:0098974,discovery_tumor_CHOL,GO:0098974,postsynaptic actin cytoskeleton organization,3/41,17/18870,6.338446145245439e-06,0.0013361444474177385,0.0010848750981230614,ACTB/ACTBL2/POTEI,3.0,,
GO:0099188,discovery_tumor_CHOL,GO:0099188,postsynaptic cytoskeleton organization,3/41,20/18870,1.0578178544957325e-05,0.0018582333643975034,0.0015087823082544397,ACTB/ACTBL2/POTEI,3.0,,
GO:0006956,discovery_tumor_CHOL,GO:0006956,complement activation,4/41,67/18870,1.3314086294836028e-05,0.002004720993536739,0.0016277221289776982,C1R/C8A/MASP2/SERPING1,4.0,,
GO:0030212,discovery_tumor_CHOL,GO:0030212,hyaluronan metabolic process,3/41,34/18870,5.4364947953011155e-05,0.00716258189280922,0.005815618774447115,ITIH3/ITIH4/ITIH5,3.0,,
GO:0019730,discovery_tumor_CHOL,GO:0019730,antimicrobial humoral response,4/41,133/18870,0.00019513321377314941,0.0228522674796555,0.018554772257025787,CAMP/GAPDH/HLA-A/RNASE4,4.0,,
GO:0001867,discovery_tumor_CHOL,GO:0001867,"complement activation, lectin pathway",2/41,11/18870,0.00025020662682112565,0.023974344060860586,0.0194658361345048,MASP2/SERPING1,2.0,,
GO:0042989,discovery_tumor_CHOL,GO:0042989,sequestering of actin monomers,2/41,11/18870,0.00025020662682112565,0.023974344060860586,0.0194658361345048,GSN/TMSB4X,2.0,,
GO:0007409,discovery_tumor_CHOL,GO:0007409,axonogenesis,6/41,448/18870,0.0003849283926204225,0.03380954381849377,0.02745147221056171,ACTB/ACTBL2/B4GALT5/MEGF8/NOTCH3/POTEI,6.0,,
GO:0019731,discovery_tumor_CHOL,GO:0019731,antibacterial humoral response,3/41,70/18870,0.00047104854221440115,0.038191166422613755,0.031009106463182848,CAMP/HLA-A/RNASE4,3.0,,
hsa04610,discovery_tumor_CRCA,hsa04610,Complement and coagulation cascades,1/1,88/8843,0.009951373968110189,0.009951373968110189,-2147483648.0,CFHR3,1.0,Organismal Systems,Immune system
R-HSA-977606,discovery_tumor_CRCA,R-HSA-977606,Regulation of Complement cascade,1/1,47/11009,0.004269234262875954,0.005268416749931837,-2147483648.0,CFHR3,1.0,,
R-HSA-166658,discovery_tumor_CRCA,R-HSA-166658,Complement cascade,1/1,58/11009,0.005268416749931837,0.005268416749931837,-2147483648.0,CFHR3,1.0,,
GO:0006956,discovery_tumor_CRCA,GO:0006956,complement activation,1/1,67/18870,0.0035506094329622595,0.007101218865924519,-2147483648.0,CFHR3,1.0,,
GO:0006959,discovery_tumor_CRCA,GO:0006959,humoral immune response,1/1,258/18870,0.013672496025437075,0.013672496025437075,-2147483648.0,CFHR3,1.0,,
HALLMARK_KRAS_SIGNALING_DN,discovery_tumor_ESCA,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,1/1,200/4383,0.045630846452201834,0.045630846452201834,-2147483648.0,C5,1.0,,
hsa05133,discovery_tumor_ESCA,hsa05133,Pertussis,3/6,78/8843,1.295577224992071e-05,0.00012778648002107705,6.725604211635634e-05,C4A/C4B/C5,3.0,Human Diseases,Infectious disease: bacterial
hsa04610,discovery_tumor_ESCA,hsa04610,Complement and coagulation cascades,3/6,88/8843,1.864029324392941e-05,0.00012778648002107705,6.725604211635634e-05,C4A/C4B/C5,3.0,Organismal Systems,Immune system
hsa05150,discovery_tumor_ESCA,hsa05150,Staphylococcus aureus infection,3/6,100/8843,2.738281714737365e-05,0.00012778648002107705,6.725604211635634e-05,C4A/C4B/C5,3.0,Human Diseases,Infectious disease: bacterial
hsa05322,discovery_tumor_ESCA,hsa05322,Systemic lupus erythematosus,3/6,139/8843,7.343155510990856e-05,0.00022848345606801425,0.00012025445056211276,C4A/C4B/C5,3.0,Human Diseases,Immune disease
hsa04936,discovery_tumor_ESCA,hsa04936,Alcoholic liver disease,3/6,144/8843,8.16012343100051e-05,0.00022848345606801425,0.00012025445056211276,C4A/C4B/C5,3.0,Human Diseases,Endocrine and metabolic disease
hsa05171,discovery_tumor_ESCA,hsa05171,Coronavirus disease - COVID-19,3/6,238/8843,0.000362585421476107,0.0008460326501109164,0.0004452803421636402,C4A/C4B/C5,3.0,Human Diseases,Infectious disease: viral
R-HSA-977606,discovery_tumor_ESCA,R-HSA-977606,Regulation of Complement cascade,3/6,47/11009,1.4456429859817116e-06,3.430948321157754e-05,1.589070801378328e-05,C4A/C4B/C5,3.0,,
R-HSA-166658,discovery_tumor_ESCA,R-HSA-166658,Complement cascade,3/6,58/11009,2.7447586569262033e-06,3.430948321157754e-05,1.589070801378328e-05,C4A/C4B/C5,3.0,,
R-HSA-166663,discovery_tumor_ESCA,R-HSA-166663,Initial triggering of complement,2/6,23/11009,6.231245065338079e-05,0.0005192704221115066,0.00024050419550427675,C4A/C4B,2.0,,
R-HSA-8957275,discovery_tumor_ESCA,R-HSA-8957275,Post-translational protein phosphorylation,2/6,108/11009,0.00139401054648482,0.008712565915530126,0.0040352936871929,C4A/C4B,2.0,,
R-HSA-381426,discovery_tumor_ESCA,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2/6,125/11009,0.0018620598041399258,0.009310299020699629,0.004312138493797722,C4A/C4B,2.0,,
GO:0006958,discovery_tumor_ESCA,GO:0006958,"complement activation, classical pathway",3/7,42/18870,3.5663133245588547e-07,4.025961622697077e-05,2.0341700830469444e-05,C4A/C4B/C5,3.0,,
GO:0043277,discovery_tumor_ESCA,GO:0043277,apoptotic cell clearance,3/7,48/18870,5.367948830262769e-07,4.025961622697077e-05,2.0341700830469444e-05,C4A/C4B/SPG11,3.0,,
GO:0002455,discovery_tumor_ESCA,GO:0002455,humoral immune response mediated by circulating immunoglobulin,3/7,55/18870,8.133165106733845e-07,4.066582553366923e-05,2.0546943427538138e-05,C4A/C4B/C5,3.0,,
GO:0006956,discovery_tumor_ESCA,GO:0006956,complement activation,3/7,67/18870,1.4822761041239136e-06,5.558535390464676e-05,2.8085231446558367e-05,C4A/C4B/C5,3.0,,
GO:2000425,discovery_tumor_ESCA,GO:2000425,regulation of apoptotic cell clearance,2/7,10/18870,5.300625566277129e-06,0.00015901876698831387,8.03463243730428e-05,C4A/C4B,2.0,,
GO:0016064,discovery_tumor_ESCA,GO:0016064,immunoglobulin mediated immune response,3/7,205/18870,4.282588077569922e-05,0.0009583228195175709,0.0004842052140720359,C4A/C4B/C5,3.0,,
GO:0019724,discovery_tumor_ESCA,GO:0019724,B cell mediated immunity,3/7,208/18870,4.472173157748665e-05,0.0009583228195175709,0.0004842052140720359,C4A/C4B/C5,3.0,,
GO:0006909,discovery_tumor_ESCA,GO:0006909,phagocytosis,3/7,237/18870,6.596736388503974e-05,0.001236888072844495,0.0006249539736477448,C4A/C4B/SPG11,3.0,,
GO:0006959,discovery_tumor_ESCA,GO:0006959,humoral immune response,3/7,258/18870,8.490477500699697e-05,0.0014150795834499497,0.0007149875790062902,C4A/C4B/C5,3.0,,
GO:0002449,discovery_tumor_ESCA,GO:0002449,lymphocyte mediated immunity,3/7,368/18870,0.00024291946812462164,0.0036411784644737196,0.0018397533294183005,C4A/C4B/C5,3.0,,
GO:0002460,discovery_tumor_ESCA,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,3/7,380/18870,0.0002670197540614061,0.0036411784644737196,0.0018397533294183005,C4A/C4B/C5,3.0,,
GO:0050766,discovery_tumor_ESCA,GO:0050766,positive regulation of phagocytosis,2/7,72/18870,0.0002977932578697548,0.003722415723371935,0.001880799523387925,C4A/C4B,2.0,,
GO:0002443,discovery_tumor_ESCA,GO:0002443,leukocyte mediated immunity,3/7,466/18870,0.0004863697029016119,0.005611958110403215,0.0028355156768353085,C4A/C4B/C5,3.0,,
GO:0050764,discovery_tumor_ESCA,GO:0050764,regulation of phagocytosis,2/7,100/18870,0.0005738621257372672,0.006148522775756434,0.0031066220340664093,C4A/C4B,2.0,,
GO:0045807,discovery_tumor_ESCA,GO:0045807,positive regulation of endocytosis,2/7,155/18870,0.0013702356848832092,0.013702356848832092,0.006923296092041478,C4A/C4B,2.0,,
GO:0075522,discovery_tumor_ESCA,GO:0075522,IRES-dependent viral translational initiation,1/7,11/18870,0.004074068588381996,0.03819439301608121,0.019298219629177875,PCBP2,1.0,,
GO:0030100,discovery_tumor_ESCA,GO:0030100,regulation of endocytosis,2/7,291/18870,0.004728877943999466,0.03887029416825394,0.01963972757974936,C4A/C4B,2.0,,
GO:0032490,discovery_tumor_ESCA,GO:0032490,detection of molecule of bacterial origin,1/7,13/18870,0.004813277716220976,0.03887029416825394,0.01963972757974936,C4B,1.0,,
GO:0090385,discovery_tumor_ESCA,GO:0090385,phagosome-lysosome fusion,1/7,14/18870,0.005182705889100525,0.03887029416825394,0.01963972757974936,SPG11,1.0,,
GO:1905522,discovery_tumor_ESCA,GO:1905522,negative regulation of macrophage migration,1/7,14/18870,0.005182705889100525,0.03887029416825394,0.01963972757974936,C5,1.0,,
GO:2001256,discovery_tumor_ESCA,GO:2001256,regulation of store-operated calcium entry,1/7,16/18870,0.005921209608675815,0.042294354347684394,0.02136977903883001,SPG11,1.0,,
GO:0008228,discovery_tumor_ESCA,GO:0008228,opsonization,1/7,17/18870,0.006290285217710356,0.042888308302570614,0.02166988208971989,C4B,1.0,,
GO:0006957,discovery_tumor_ESCA,GO:0006957,"complement activation, alternative pathway",1/7,18/18870,0.006659243367791112,0.0434298480508116,0.021943502173041654,C5,1.0,,
GO:0001845,discovery_tumor_ESCA,GO:0001845,phagolysosome assembly,1/7,19/18870,0.007028084090071496,0.04392552556294685,0.022193949758120515,SPG11,1.0,,
GO:0019081,discovery_tumor_ESCA,GO:0019081,viral translation,1/7,21/18870,0.007765413375807939,0.04397727581384937,0.022220097253313368,PCBP2,1.0,,
GO:0097049,discovery_tumor_ESCA,GO:0097049,motor neuron apoptotic process,1/7,21/18870,0.007765413375807939,0.04397727581384937,0.022220097253313368,SPG11,1.0,,
GO:0002115,discovery_tumor_ESCA,GO:0002115,store-operated calcium entry,1/7,22/18870,0.008133902001537296,0.04397727581384937,0.022220097253313368,SPG11,1.0,,
GO:0002689,discovery_tumor_ESCA,GO:0002689,negative regulation of leukocyte chemotaxis,1/7,23/18870,0.008502273324010878,0.04397727581384937,0.022220097253313368,C5,1.0,,
GO:0061744,discovery_tumor_ESCA,GO:0061744,motor behavior,1/7,23/18870,0.008502273324010878,0.04397727581384937,0.022220097253313368,SPG11,1.0,,
GO:0098581,discovery_tumor_ESCA,GO:0098581,detection of external biotic stimulus,1/7,26/18870,0.009606683783067282,0.045194237703777194,0.022834983260855844,C4B,1.0,,
GO:0010758,discovery_tumor_ESCA,GO:0010758,regulation of macrophage chemotaxis,1/7,28/18870,0.010342371476517065,0.045194237703777194,0.022834983260855844,C5,1.0,,
GO:0006910,discovery_tumor_ESCA,GO:0006910,"phagocytosis, recognition",1/7,29/18870,0.010710039632745971,0.045194237703777194,0.022834983260855844,C4B,1.0,,
GO:0021952,discovery_tumor_ESCA,GO:0021952,central nervous system projection neuron axonogenesis,1/7,29/18870,0.010710039632745971,0.045194237703777194,0.022834983260855844,SPG11,1.0,,
GO:0010575,discovery_tumor_ESCA,GO:0010575,positive regulation of vascular endothelial growth factor production,1/7,30/18870,0.011077590703420181,0.045194237703777194,0.022834983260855844,C5,1.0,,
GO:0039694,discovery_tumor_ESCA,GO:0039694,viral RNA genome replication,1/7,30/18870,0.011077590703420181,0.045194237703777194,0.022834983260855844,PCBP2,1.0,,
GO:0090382,discovery_tumor_ESCA,GO:0090382,phagosome maturation,1/7,30/18870,0.011077590703420181,0.045194237703777194,0.022834983260855844,SPG11,1.0,,
GO:0006869,discovery_tumor_ESCA,GO:0006869,lipid transport,2/7,453/18870,0.011147911966931707,0.045194237703777194,0.022834983260855844,APOF/SPG11,2.0,,
GO:0032102,discovery_tumor_ESCA,GO:0032102,negative regulation of response to external stimulus,2/7,481/18870,0.012507700849805415,0.049372503354495056,0.024946106958060665,C5/PCBP2,2.0,,
GO:0090659,discovery_tumor_ESCA,GO:0090659,walking behavior,1/7,35/18870,0.012913590860816448,0.049667657156986345,0.025095237300372046,SPG11,1.0,,
