Cluster,,category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
LUAD-enriched,R-HSA-6798695,,,R-HSA-6798695,Neutrophil degranulation,4/12,480/11009,0.0013355235349940928,0.005453387767892545,0.0024601749328838547,CAMP/FUCA1/GGH/PECAM1,4
LUAD-enriched,R-HSA-114608,,,R-HSA-114608,Platelet degranulation,2/12,129/11009,0.008327011223543686,0.031361722602037706,0.014148145534753855,PECAM1/PFN1,2
LUAD-enriched,R-HSA-76005,,,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,2/12,134/11009,0.008960492172010774,0.031361722602037706,0.014148145534753855,PECAM1/PFN1,2
LUAD-enriched,R-HSA-975578,,,R-HSA-975578,Reactions specific to the complex N-glycan synthesis pathway,1/12,10/11009,0.010851276035996893,0.03544750171758985,0.015991354158311207,FUCA1,1
LUAD-enriched,R-HSA-210990,,,R-HSA-210990,PECAM1 interactions,1/12,12/11009,0.013008535553400202,0.03983864013228812,0.017972318856671332,PECAM1,1
LUAD-enriched,R-HSA-166786,,,R-HSA-166786,Creation of C4 and C2 activators,1/12,14/11009,0.0151614815332769,0.04370074089003342,0.019714619950391015,MASP1,1
LUAD-enriched,R-HSA-8866427,,,R-HSA-8866427,VLDLR internalisation and degradation,1/12,16/11009,0.017310121818065016,0.047121998282510326,0.02125804433797458,PCSK9,1
LUAD-enriched,R-HSA-432142,,,R-HSA-432142,Platelet sensitization by LDL,1/12,17/11009,0.018382829772052744,0.0474083504647676,0.021387225773579367,PECAM1,1
LUAD-enriched,R-HSA-3000480,,,R-HSA-3000480,Scavenging by Class A Receptors,1/12,19/11009,0.020525026190705953,0.047891727778313894,0.021605290727058895,MASP1,1
LUAD-enriched,R-HSA-8964038,,,R-HSA-8964038,LDL clearance,1/12,19/11009,0.020525026190705953,0.047891727778313894,0.021605290727058895,PCSK9,1
LUAD-enriched,R-HSA-9629569,,,R-HSA-9629569,Protein hydroxylation,1/12,20/11009,0.021594516607968073,0.04809687789956525,0.021697839653939212,F9,1
LUAD-enriched,GO:0006959,,,GO:0006959,humoral immune response,5/15,258/18870,1.2340845346949422e-06,0.00046648395411468815,0.0003221610153729954,CAMP/CFB/CFHR5/MASP1/RNASE4,5
LUAD-enriched,GO:0006956,,,GO:0006956,complement activation,3/15,67/18870,1.888124025396629e-05,0.0035685544079996287,0.0024644987278861262,CFB/CFHR5/MASP1,3
LUAD-enriched,GO:0016485,,,GO:0016485,protein processing,4/15,245/18870,3.3820872766780096e-05,0.004261429968614292,0.0029430092793548994,F7/F9/MASP1/PCSK9,4
LUAD-enriched,GO:0006957,,,GO:0006957,"complement activation, alternative pathway",2/15,18/18870,8.957727996169066e-05,0.008465052956379768,0.005846096165920864,CFB/CFHR5,2
LUAD-enriched,GO:0051873,,,GO:0051873,killing by host of symbiont cells,2/15,28/18870,0.00022029450263796668,0.01665426439943028,0.01150169192720331,CAMP/CFHR5,2
LUAD-enriched,GO:0007596,,,GO:0007596,blood coagulation,3/15,224/18870,0.0006758098031174037,0.03491740935103745,0.02411450158467638,F10/F7/F9,3
LUAD-enriched,GO:0050817,,,GO:0050817,coagulation,3/15,229/18870,0.0007205704533611945,0.03491740935103745,0.02411450158467638,F10/F7/F9,3
LUAD-enriched,GO:0007599,,,GO:0007599,hemostasis,3/15,231/18870,0.0007389927904981471,0.03491740935103745,0.02411450158467638,F10/F7/F9,3
LUAD-enriched,GO:0031638,,,GO:0031638,zymogen activation,2/15,59/18870,0.0009830621336939553,0.04128860961514612,0.02851455077849133,F9/MASP1,2
LUAD-enriched,HALLMARK_COMPLEMENT,,,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,5/10,200/4383,3.933915864794272e-05,0.0005114090624232554,0.00037268676613840473,CFB/F10/F7/PCSK9/PFN1,5
LUAD-enriched,HALLMARK_COAGULATION,,,HALLMARK_COAGULATION,HALLMARK_COAGULATION,4/10,138/4383,0.00017051306099729807,0.0011083348964824374,0.0008076934468293066,CFB/F10/F9/PECAM1,4
LUAD-enriched,HALLMARK_KRAS_SIGNALING_UP,,,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,3/10,200/4383,0.008852924189922385,0.038362671489663665,0.027956602705018055,CFB/FUCA1/PECAM1,3
SCC-enriched,hsa04820,,,hsa04820,Cytoskeleton in muscle cells,4/10,232/8843,8.561552288688653e-05,0.004708853758778759,0.003965350533708429,ENO2/ITGB3/PDLIM1/VCL,4
SCC-enriched,hsa04979,Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,2/10,51/8843,0.0014248150627253825,0.03918241422494802,0.03299571724206149,APOC1/APOC3,2
SCC-enriched,hsa00010,Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,2/10,67/8843,0.0024470448242883314,0.04486248844528607,0.03777893763813564,ENO2/FBP1,2
SCC-enriched,R-HSA-114608,,,R-HSA-114608,Platelet degranulation,5/12,129/11009,1.5156483546846095e-07,7.4259832335842395e-06,3.86016022538492e-06,CAP1/ITGB3/LGALS3BP/SRGN/VCL,5
SCC-enriched,R-HSA-76005,,,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5/12,134/11009,1.833576107057837e-07,7.4259832335842395e-06,3.86016022538492e-06,CAP1/ITGB3/LGALS3BP/SRGN/VCL,5
SCC-enriched,R-HSA-76002,,,R-HSA-76002,"Platelet activation, signaling and aggregation",5/12,263/11009,5.171963303573952e-06,0.0001396430091964967,7.258895864665196e-05,CAP1/ITGB3/LGALS3BP/SRGN/VCL,5
SCC-enriched,R-HSA-8963898,,,R-HSA-8963898,Plasma lipoprotein assembly,2/12,19/11009,0.00018434907726083666,0.0037330688145319423,0.001940516602745649,APOC1/APOC3,2
SCC-enriched,R-HSA-70263,,,R-HSA-70263,Gluconeogenesis,2/12,35/11009,0.0006352617459993116,0.007734081344547028,0.004020315188848357,ENO2/FBP1,2
SCC-enriched,R-HSA-6802948,,,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,2/12,36/11009,0.0006722227964437602,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-5674135,,,R-HSA-5674135,MAP2K and MAPK activation,2/12,40/11009,0.0008302618941482443,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-9656223,,,R-HSA-9656223,Signaling by RAF1 mutants,2/12,43/11009,0.0009594429134507617,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-6802946,,,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,2/12,47/11009,0.001145789828821782,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-6802949,,,R-HSA-6802949,Signaling by RAS mutants,2/12,47/11009,0.001145789828821782,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-6802955,,,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,2/12,47/11009,0.001145789828821782,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-9649948,,,R-HSA-9649948,Signaling downstream of RAS mutants,2/12,47/11009,0.001145789828821782,0.007734081344547028,0.004020315188848357,ITGB3/VCL,2
SCC-enriched,R-HSA-6802952,,,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,2/12,67/11009,0.0023153037063666443,0.014426123093515245,0.00749895937284743,ITGB3/VCL,2
SCC-enriched,R-HSA-174824,,,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",2/12,75/11009,0.0028918679766362257,0.01673152186482388,0.00869734729815406,APOC1/APOC3,2
SCC-enriched,R-HSA-6802957,,,R-HSA-6802957,Oncogenic MAPK signaling,2/12,84/11009,0.0036130696032464385,0.019510575857530767,0.010141949763498774,ITGB3/VCL,2
SCC-enriched,R-HSA-70326,,,R-HSA-70326,Glucose metabolism,2/12,93/11009,0.004409845772094997,0.022324844221230922,0.011604857294986833,ENO2/FBP1,2
SCC-enriched,R-HSA-8963888,,,R-HSA-8963888,Chylomicron assembly,1/12,10/11009,0.010851276035996893,0.046260703100828866,0.02404714911024242,APOC3,1
SCC-enriched,R-HSA-8963901,,,R-HSA-8963901,Chylomicron remodeling,1/12,10/11009,0.010851276035996893,0.046260703100828866,0.02404714911024242,APOC3,1
SCC-enriched,R-HSA-8964058,,,R-HSA-8964058,HDL remodeling,1/12,10/11009,0.010851276035996893,0.046260703100828866,0.02404714911024242,APOC3,1
SCC-enriched,GO:0034368,,,GO:0034368,protein-lipid complex remodeling,3/16,33/18870,2.6867762391601927e-06,0.0006787183353996139,0.0003135096907908499,AGT/APOC1/APOC3,3
SCC-enriched,GO:0034369,,,GO:0034369,plasma lipoprotein particle remodeling,3/16,33/18870,2.6867762391601927e-06,0.0006787183353996139,0.0003135096907908499,AGT/APOC1/APOC3,3
SCC-enriched,GO:0034367,,,GO:0034367,protein-containing complex remodeling,3/16,35/18870,3.219716993045786e-06,0.0006787183353996139,0.0003135096907908499,AGT/APOC1/APOC3,3
SCC-enriched,GO:0048261,,,GO:0048261,negative regulation of receptor-mediated endocytosis,3/16,37/18870,3.818387259632146e-06,0.0006787183353996139,0.0003135096907908499,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0032368,,,GO:0032368,regulation of lipid transport,4/16,153/18870,7.010248363493433e-06,0.0009717785270323682,0.0004488783780207254,AGT/APOC1/APOC3/ITGB3,4
SCC-enriched,GO:0032369,,,GO:0032369,negative regulation of lipid transport,3/16,48/18870,8.45151337051863e-06,0.0009717785270323682,0.0004488783780207254,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0071827,,,GO:0071827,plasma lipoprotein particle organization,3/16,50/18870,9.567439787941741e-06,0.0009717785270323682,0.0004488783780207254,AGT/APOC1/APOC3,3
SCC-enriched,GO:0071825,,,GO:0071825,protein-lipid complex organization,3/16,53/18870,1.1417317613156444e-05,0.001014714102869279,0.0004687109335927383,AGT/APOC1/APOC3,3
SCC-enriched,GO:1905952,,,GO:1905952,regulation of lipid localization,4/16,183/18870,1.422157484828332e-05,0.0011235044130143822,0.0005189627313057773,AGT/APOC1/APOC3/ITGB3,4
SCC-enriched,GO:0046503,,,GO:0046503,glycerolipid catabolic process,3/16,65/18870,2.1156972942848583e-05,0.0014318886099475565,0.0006614097954010476,APOC1/APOC3/ENPP2,3
SCC-enriched,GO:1905953,,,GO:1905953,negative regulation of lipid localization,3/16,66/18870,2.215298833955432e-05,0.0014318886099475565,0.0006614097954010476,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0045806,,,GO:0045806,negative regulation of endocytosis,3/16,75/18870,3.253789402634187e-05,0.0019278702210607556,0.0008905107838788301,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0001667,,,GO:0001667,ameboidal-type cell migration,5/16,497/18870,4.265968280879447e-05,0.0022481606346458813,0.0010384574994589015,AGT/CAP1/ENPP2/ITGB3/PDLIM1,5
SCC-enriched,GO:0034379,,,GO:0034379,very-low-density lipoprotein particle assembly,2/16,12/18870,4.4267579303857016e-05,0.0022481606346458813,0.0010384574994589015,APOC1/APOC3,2
SCC-enriched,GO:0006898,,,GO:0006898,receptor-mediated endocytosis,4/16,258/18870,5.45943325201773e-05,0.0025502000133536683,0.0011779738014158628,APOC1/APOC3/CAP1/ITGB3,4
SCC-enriched,GO:0097006,,,GO:0097006,regulation of plasma lipoprotein particle levels,3/16,91/18870,5.805685095439968e-05,0.0025502000133536683,0.0011779738014158628,AGT/APOC1/APOC3,3
SCC-enriched,GO:0033700,,,GO:0033700,phospholipid efflux,2/16,14/18870,6.097524645149418e-05,0.0025502000133536683,0.0011779738014158628,APOC1/APOC3,2
SCC-enriched,GO:0034375,,,GO:0034375,high-density lipoprotein particle remodeling,2/16,16/18870,8.032741121553877e-05,0.002855639468712403,0.0013190606473288474,APOC1/APOC3,2
SCC-enriched,GO:0034638,,,GO:0034638,phosphatidylcholine catabolic process,2/16,16/18870,8.032741121553877e-05,0.002855639468712403,0.0013190606473288474,APOC1/ENPP2,2
SCC-enriched,GO:0051004,,,GO:0051004,regulation of lipoprotein lipase activity,2/16,16/18870,8.032741121553877e-05,0.002855639468712403,0.0013190606473288474,APOC1/APOC3,2
SCC-enriched,GO:0060192,,,GO:0060192,negative regulation of lipase activity,2/16,17/18870,9.099271356584919e-05,0.0030807533021580367,0.0014230439414809498,APOC1/APOC3,2
SCC-enriched,GO:0015850,,,GO:0015850,organic hydroxy compound transport,4/16,308/18870,0.00010849338995685415,0.0034524487156591195,0.0015947353605531797,AGT/APOC1/APOC3/ITGB3,4
SCC-enriched,GO:0048259,,,GO:0048259,regulation of receptor-mediated endocytosis,3/16,115/18870,0.0001165383532711939,0.0034524487156591195,0.0015947353605531797,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0062014,,,GO:0062014,negative regulation of small molecule metabolic process,3/16,115/18870,0.0001165383532711939,0.0034524487156591195,0.0015947353605531797,APOC1/APOC3/FBP1,3
SCC-enriched,GO:0010985,,,GO:0010985,negative regulation of lipoprotein particle clearance,2/16,21/18870,0.00014022575443762411,0.00398802045620603,0.0018421235951384728,APOC1/APOC3,2
SCC-enriched,GO:0042157,,,GO:0042157,lipoprotein metabolic process,3/16,135/18870,0.00018731996227585495,0.0051224805068512645,0.0023661468919055364,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0045717,,,GO:0045717,negative regulation of fatty acid biosynthetic process,2/16,26/18870,0.0002164800789189726,0.005700642078199611,0.0026332079774939363,APOC1/APOC3,2
SCC-enriched,GO:0034377,,,GO:0034377,plasma lipoprotein particle assembly,2/16,27/18870,0.00023368289524457121,0.005729259948927246,0.0026464269806281754,APOC1/APOC3,2
SCC-enriched,GO:0050995,,,GO:0050995,negative regulation of lipid catabolic process,2/16,27/18870,0.00023368289524457121,0.005729259948927246,0.0026464269806281754,APOC1/APOC3,2
SCC-enriched,GO:0065005,,,GO:0065005,protein-lipid complex assembly,2/16,30/18870,0.0002891776933887434,0.006853511333313219,0.0031657347486767702,APOC1/APOC3,2
SCC-enriched,GO:0032372,,,GO:0032372,negative regulation of sterol transport,2/16,31/18870,0.00030896816690997457,0.006864886458530998,0.003170989081444476,APOC1/APOC3,2
SCC-enriched,GO:0032375,,,GO:0032375,negative regulation of cholesterol transport,2/16,31/18870,0.00030896816690997457,0.006864886458530998,0.003170989081444476,APOC1/APOC3,2
SCC-enriched,GO:0010743,,,GO:0010743,regulation of macrophage derived foam cell differentiation,2/16,33/18870,0.00035048159971899363,0.007454218364606269,0.0034432099041485768,AGT/ITGB3,2
SCC-enriched,GO:0050731,,,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,3/16,168/18870,0.0003564605125128174,0.007454218364606269,0.0034432099041485768,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0046475,,,GO:0046475,glycerophospholipid catabolic process,2/16,34/18870,0.00037220262072274,0.007561030380967661,0.003492547899714132,APOC1/ENPP2,2
SCC-enriched,GO:0010634,,,GO:0010634,positive regulation of epithelial cell migration,3/16,176/18870,0.0004084881103965847,0.008024085308430746,0.00370643958284165,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0010984,,,GO:0010984,regulation of lipoprotein particle clearance,2/16,36/18870,0.0004175684337720641,0.008024085308430746,0.00370643958284165,APOC1/APOC3,2
SCC-enriched,GO:0097106,,,GO:0097106,postsynaptic density organization,2/16,37/18870,0.0004412112935727742,0.008151191411770451,0.003765151706969252,IL1RAP/ITGB3,2
SCC-enriched,GO:0034329,,,GO:0034329,cell junction assembly,4/16,446/18870,0.0004471117652025986,0.008151191411770451,0.003765151706969252,AGT/IL1RAP/ITGB3/VCL,4
SCC-enriched,GO:0006869,,,GO:0006869,lipid transport,4/16,453/18870,0.00047423935852312183,0.00842960459774849,0.0038937547331372117,AGT/APOC1/APOC3/ITGB3,4
SCC-enriched,GO:0010742,,,GO:0010742,macrophage derived foam cell differentiation,2/16,40/18870,0.0005159681137020356,0.008947642166881641,0.00413304368356958,AGT/ITGB3,2
SCC-enriched,GO:0090077,,,GO:0090077,foam cell differentiation,2/16,41/18870,0.0005421599252892661,0.009177993020968288,0.004239446032337119,AGT/ITGB3,2
SCC-enriched,GO:0099173,,,GO:0099173,postsynapse organization,3/16,196/18870,0.0005593403226799973,0.009194305723666979,0.004246981102648748,IL1RAP/ITGB3/SRGN,3
SCC-enriched,GO:0045922,,,GO:0045922,negative regulation of fatty acid metabolic process,2/16,42/18870,0.0005689865708035823,0.009194305723666979,0.004246981102648748,APOC1/APOC3,2
SCC-enriched,GO:0099084,,,GO:0099084,postsynaptic specialization organization,2/16,43/18870,0.0005964470906386841,0.009423864032091209,0.004353017363257765,IL1RAP/ITGB3,2
SCC-enriched,GO:1901888,,,GO:1901888,regulation of cell junction assembly,3/16,213/18870,0.0007124588767845362,0.011012136117256635,0.005086662918919344,AGT/IL1RAP/VCL,3
SCC-enriched,GO:0044242,,,GO:0044242,cellular lipid catabolic process,3/16,223/18870,0.0008138861616662946,0.0123121927860582,0.005687177658228084,APOC1/APOC3/ENPP2,3
SCC-enriched,GO:0050730,,,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,3/16,231/18870,0.0009013429942491913,0.013080623713131807,0.006042126876152379,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0048146,,,GO:0048146,positive regulation of fibroblast proliferation,2/16,53/18870,0.0009057049766262891,0.013080623713131807,0.006042126876152379,AGT/ITGB3,2
SCC-enriched,GO:0009395,,,GO:0009395,phospholipid catabolic process,2/16,54/18870,0.0009400750651559418,0.013080623713131807,0.006042126876152379,APOC1/ENPP2,2
SCC-enriched,GO:0010761,,,GO:0010761,fibroblast migration,2/16,54/18870,0.0009400750651559418,0.013080623713131807,0.006042126876152379,ITGB3/PDLIM1,2
SCC-enriched,GO:0034381,,,GO:0034381,plasma lipoprotein particle clearance,2/16,55/18870,0.0009750675904303598,0.013080623713131807,0.006042126876152379,APOC1/APOC3,2
SCC-enriched,GO:0042304,,,GO:0042304,regulation of fatty acid biosynthetic process,2/16,55/18870,0.0009750675904303598,0.013080623713131807,0.006042126876152379,APOC1/APOC3,2
SCC-enriched,GO:0050994,,,GO:0050994,regulation of lipid catabolic process,2/16,61/18870,0.0011980409686495963,0.015774206087219685,0.0072863310374010545,APOC1/APOC3,2
SCC-enriched,GO:1903053,,,GO:1903053,regulation of extracellular matrix organization,2/16,62/18870,0.0012373640993214145,0.015995743174864106,0.007388662181593903,AGT/ITGB3,2
SCC-enriched,GO:0051055,,,GO:0051055,negative regulation of lipid biosynthetic process,2/16,68/18870,0.0014861827688420926,0.018775097664391744,0.008672485707735916,APOC1/APOC3,2
SCC-enriched,GO:0018108,,,GO:0018108,peptidyl-tyrosine phosphorylation,3/16,276/18870,0.0015051766060060893,0.018775097664391744,0.008672485707735916,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0018212,,,GO:0018212,peptidyl-tyrosine modification,3/16,278/18870,0.001536664090943248,0.01883738221828706,0.008701255832564309,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0014823,,,GO:0014823,response to activity,2/16,72/18870,0.0016642598277383676,0.019721478958699655,0.00910963274130475,AGT/ITGB3,2
SCC-enriched,GO:0070527,,,GO:0070527,platelet aggregation,2/16,72/18870,0.0016642598277383676,0.019721478958699655,0.00910963274130475,ITGB3/VCL,2
SCC-enriched,GO:0033344,,,GO:0033344,cholesterol efflux,2/16,73/18870,0.001710295286126808,0.01993475325305181,0.009208147183288424,APOC1/APOC3,2
SCC-enriched,GO:0030100,,,GO:0030100,regulation of endocytosis,3/16,291/18870,0.0017514999723257066,0.020085749682638345,0.009277894590248225,APOC1/APOC3/ITGB3,3
SCC-enriched,GO:0010632,,,GO:0010632,regulation of epithelial cell migration,3/16,295/18870,0.0018212037633576514,0.020553585329322065,0.009493994555849412,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0046470,,,GO:0046470,phosphatidylcholine metabolic process,2/16,76/18870,0.0018520256578266371,0.020574847542417795,0.009503815875689322,APOC1/ENPP2,2
SCC-enriched,GO:0060191,,,GO:0060191,regulation of lipase activity,2/16,78/18870,0.0019495233010633735,0.021324785647016287,0.00985022299484652,APOC1/APOC3,2
SCC-enriched,GO:0032371,,,GO:0032371,regulation of sterol transport,2/16,80/18870,0.0020494208949859032,0.021748332184104137,0.010045865188304822,APOC1/APOC3,2
SCC-enriched,GO:0032374,,,GO:0032374,regulation of cholesterol transport,2/16,80/18870,0.0020494208949859032,0.021748332184104137,0.010045865188304822,APOC1/APOC3,2
SCC-enriched,GO:0071375,,,GO:0071375,cellular response to peptide hormone stimulus,3/16,310/18870,0.002098061839784359,0.021937087765980575,0.01013305408688421,AGT/FBP1/ITGB3,3
SCC-enriched,GO:0032147,,,GO:0032147,activation of protein kinase activity,2/16,88/18870,0.002472863375630858,0.025217120950494314,0.011648148251616296,AGT/ITGB3,2
SCC-enriched,GO:0006096,,,GO:0006096,glycolytic process,2/16,89/18870,0.002528461898473744,0.025217120950494314,0.011648148251616296,ENO2/FBP1,2
SCC-enriched,GO:0048145,,,GO:0048145,regulation of fibroblast proliferation,2/16,89/18870,0.002528461898473744,0.025217120950494314,0.011648148251616296,AGT/ITGB3,2
SCC-enriched,GO:0006094,,,GO:0006094,gluconeogenesis,2/16,90/18870,0.002584650306704938,0.025217120950494314,0.011648148251616296,ENO2/FBP1,2
SCC-enriched,GO:0016042,,,GO:0016042,lipid catabolic process,3/16,334/18870,0.002593444265132436,0.025217120950494314,0.011648148251616296,APOC1/APOC3/ENPP2,3
SCC-enriched,GO:0097581,,,GO:0097581,lamellipodium organization,2/16,91/18870,0.002641427687733035,0.025217120950494314,0.011648148251616296,ENPP2/VCL,2
SCC-enriched,GO:0062012,,,GO:0062012,regulation of small molecule metabolic process,3/16,337/18870,0.002660033855537375,0.025217120950494314,0.011648148251616296,APOC1/APOC3/FBP1,3
SCC-enriched,GO:0019319,,,GO:0019319,hexose biosynthetic process,2/16,93/18870,0.002756745722608984,0.025790081694407732,0.011912807000747965,ENO2/FBP1,2
SCC-enriched,GO:0007044,,,GO:0007044,cell-substrate junction assembly,2/16,95/18870,0.00287440872153734,0.0264332097780823,0.012209877046060668,ITGB3/VCL,2
SCC-enriched,GO:0034109,,,GO:0034109,homotypic cell-cell adhesion,2/16,96/18870,0.0029341173112182894,0.0264332097780823,0.012209877046060668,ITGB3/VCL,2
SCC-enriched,GO:0009895,,,GO:0009895,negative regulation of catabolic process,3/16,349/18870,0.002937023308675811,0.0264332097780823,0.012209877046060668,APOC1/APOC3/FBP1,3
SCC-enriched,GO:0019217,,,GO:0019217,regulation of fatty acid metabolic process,2/16,100/18870,0.0031787777893636116,0.028251387602969098,0.013049719345808512,APOC1/APOC3,2
SCC-enriched,GO:0046364,,,GO:0046364,monosaccharide biosynthetic process,2/16,102/18870,0.003304591040900286,0.028510805964665285,0.013169548391406573,ENO2/FBP1,2
SCC-enriched,GO:0150115,,,GO:0150115,cell-substrate junction organization,2/16,102/18870,0.003304591040900286,0.028510805964665285,0.013169548391406573,ITGB3/VCL,2
SCC-enriched,GO:0015914,,,GO:0015914,phospholipid transport,2/16,103/18870,0.0033683652616482195,0.028510805964665285,0.013169548391406573,APOC1/APOC3,2
SCC-enriched,GO:0099175,,,GO:0099175,regulation of postsynapse organization,2/16,103/18870,0.0033683652616482195,0.028510805964665285,0.013169548391406573,IL1RAP/SRGN,2
SCC-enriched,GO:0010631,,,GO:0010631,epithelial cell migration,3/16,372/18870,0.0035165474916559487,0.02867087843109352,0.013243488149383639,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0006641,,,GO:0006641,triglyceride metabolic process,2/16,106/18870,0.0035631475044067646,0.02867087843109352,0.013243488149383639,APOC1/APOC3,2
SCC-enriched,GO:1901890,,,GO:1901890,positive regulation of cell junction assembly,2/16,106/18870,0.0035631475044067646,0.02867087843109352,0.013243488149383639,AGT/IL1RAP,2
SCC-enriched,GO:1901653,,,GO:1901653,cellular response to peptide,3/16,374/18870,0.0035700247746891854,0.02867087843109352,0.013243488149383639,AGT/FBP1/ITGB3,3
SCC-enriched,GO:0090132,,,GO:0090132,epithelium migration,3/16,375/18870,0.0035969510483244496,0.02867087843109352,0.013243488149383639,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0048144,,,GO:0048144,fibroblast proliferation,2/16,107/18870,0.003629225117859939,0.02867087843109352,0.013243488149383639,AGT/ITGB3,2
SCC-enriched,GO:0090130,,,GO:0090130,tissue migration,3/16,380/18870,0.0037334665415928413,0.029170271550247363,0.01347416496213958,AGT/ENPP2/ITGB3,3
SCC-enriched,GO:0045833,,,GO:0045833,negative regulation of lipid metabolic process,2/16,112/18870,0.003968199362442004,0.030667279855394185,0.014165654474621342,APOC1/APOC3,2
