Protein cluster,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
0,R-HSA-381426,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),3/22,125/11009,0.0018795411233203173,0.023080820314685033,0.014192479401421751,APOB/C3/SERPINA10,3,,
0,R-HSA-114608,R-HSA-114608,Platelet degranulation,3/22,129/11009,0.002056706760714508,0.023080820314685033,0.014192479401421751,ITIH3/ITIH4/PROS1,3,,
0,R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,3/22,134/11009,0.002292408626915127,0.023153327131842785,0.01423706410399921,ITIH3/ITIH4/PROS1,3,,
0,R-HSA-2173782,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,2/22,42/11009,0.003127285066950192,0.028714162887451763,0.017656442004790555,APOB/MASP1,2,,
0,R-HSA-418990,R-HSA-418990,Adherens junctions interactions,2/22,57/11009,0.005692890731976453,0.04791516366080181,0.02946320641987813,CDH1/CDH5,2,,
0,GO:0006956,GO:0006956,complement activation,11/23,67/18870,6.232322693613184e-22,2.7260301526017845e-19,2.0528000339430443e-19,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP1/MASP2,11,,
0,GO:0006958,GO:0006958,"complement activation, classical pathway",10/23,42/18870,1.048473135616071e-21,2.7260301526017845e-19,2.0528000339430443e-19,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0002455,GO:0002455,humoral immune response mediated by circulating immunoglobulin,10/23,55/18870,2.0671638910963216e-20,3.583084077900291e-18,2.698192868378357e-18,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0006957,GO:0006957,"complement activation, alternative pathway",7/23,18/18870,4.583129103366254e-17,5.95806783437613e-15,4.486642174874332e-15,C3/C5/C7/C8A/C8B/C8G/C9,7,,
0,GO:0006959,GO:0006959,humoral immune response,11/23,258/18870,2.949817221582357e-15,3.0678099104456515e-13,2.31017264511292e-13,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP1/MASP2,11,,
0,GO:0016064,GO:0016064,immunoglobulin mediated immune response,10/23,205/18870,1.8584785227507505e-14,1.5986470649728895e-12,1.2038394902224997e-12,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0019724,GO:0019724,B cell mediated immunity,10/23,208/18870,2.1520248951558127e-14,1.5986470649728895e-12,1.2038394902224997e-12,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0002449,GO:0002449,lymphocyte mediated immunity,10/23,368/18870,6.433670215008511e-12,4.181885639755532e-10,3.149112263135745e-10,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0002460,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,10/23,380/18870,8.834942436900243e-12,5.104633407986807e-10,3.8439749550022113e-10,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0002443,GO:0002443,leukocyte mediated immunity,10/23,466/18870,6.577003158656223e-11,3.420041642501236e-09,2.5754159737053843e-09,C1R/C1S/C3/C5/C7/C8A/C8B/C8G/C9/MASP2,10,,
0,GO:0031640,GO:0031640,killing of cells of another organism,6/23,92/18870,1.0749106161501472e-09,4.657946003317305e-08,3.507603063226796e-08,C5/C7/C8A/C8B/C8G/C9,6,,
0,GO:0141061,GO:0141061,disruption of cell in another organism,6/23,92/18870,1.0749106161501472e-09,4.657946003317305e-08,3.507603063226796e-08,C5/C7/C8A/C8B/C8G/C9,6,,
0,GO:0141060,GO:0141060,disruption of anatomical structure in another organism,6/23,99/18870,1.6799984533117893e-09,6.719993813247158e-08,5.0604001994492765e-08,C5/C7/C8A/C8B/C8G/C9,6,,
0,GO:0001906,GO:0001906,cell killing,7/23,223/18870,6.115664255489689e-09,2.2715324377533132e-07,1.7105466940166647e-07,C3/C5/C7/C8A/C8B/C8G/C9,7,,
0,GO:0001867,GO:0001867,"complement activation, lectin pathway",2/23,11/18870,7.764111349832982e-05,0.0026915586012754337,0.002026841699745873,MASP1/MASP2,2,,
0,GO:0010884,GO:0010884,positive regulation of lipid storage,2/23,27/18870,0.0004896467589538269,0.015913519665999375,0.011983460153343659,APOB/C3,2,,
0,GO:0010575,GO:0010575,positive regulation of vascular endothelial growth factor production,2/23,30/18870,0.0006054792638679335,0.018520542188901496,0.013946643105812463,C3/C5,2,,
0,GO:0030212,GO:0030212,hyaluronan metabolic process,2/23,34/18870,0.0007785481094292778,0.022491389827956915,0.01693683606477727,ITIH3/ITIH4,2,,
0,GO:0016339,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,2/23,47/18870,0.0014858196047839102,0.038927515810804426,0.02931383781704301,CDH1/CDH5,2,,
0,GO:0044331,GO:0044331,cell-cell adhesion mediated by cadherin,2/23,48/18870,0.0015492728297867209,0.038927515810804426,0.02931383781704301,CDH1/CDH5,2,,
0,GO:0042060,GO:0042060,wound healing,4/23,423/18870,0.001572072753897871,0.038927515810804426,0.02931383781704301,ANXA6/FBLN1/PROS1/SERPINA10,4,,
0,GO:0010883,GO:0010883,regulation of lipid storage,2/23,54/18870,0.001956722747468449,0.04624981039470879,0.03482779244297909,APOB/C3,2,,
0,GO:0034332,GO:0034332,adherens junction organization,2/23,57/18870,0.002177500241794803,0.047984833253003636,0.03613432787473149,CDH1/CDH5,2,,
0,GO:0010574,GO:0010574,regulation of vascular endothelial growth factor production,2/23,59/18870,0.0023309477164699887,0.047984833253003636,0.03613432787473149,C3/C5,2,,
0,GO:0031638,GO:0031638,zymogen activation,2/23,59/18870,0.0023309477164699887,0.047984833253003636,0.03613432787473149,C1R/MASP1,2,,
0,GO:0007596,GO:0007596,blood coagulation,3/23,224/18870,0.0024526767562285975,0.047984833253003636,0.03613432787473149,FBLN1/PROS1/SERPINA10,3,,
0,GO:0050817,GO:0050817,coagulation,3/23,229/18870,0.0026110091690385077,0.047984833253003636,0.03613432787473149,FBLN1/PROS1/SERPINA10,3,,
0,GO:0010573,GO:0010573,vascular endothelial growth factor production,2/23,63/18870,0.002652768631729806,0.047984833253003636,0.03613432787473149,C3/C5,2,,
0,GO:0007599,GO:0007599,hemostasis,3/23,231/18870,0.0026760772391098185,0.047984833253003636,0.03613432787473149,FBLN1/PROS1/SERPINA10,3,,
1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6/17,200/4383,6.797092862870337e-05,0.0010875348580592539,0.0008585801510994109,COL6A3/COMP/LRP1/PCOLCE/PVR/QSOX1,6,,
1,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,5/17,200/4383,0.0007428007122570968,0.005942405698056774,0.004691372919518506,APOD/CDH13/COL6A3/IGF1/SOD3,5,,
1,HALLMARK_COAGULATION,HALLMARK_COAGULATION,HALLMARK_COAGULATION,4/17,138/4383,0.00162695002618438,0.008677066806316693,0.006850315899723705,COMP/CPB2/LRP1/PROZ,4,,
1,R-HSA-381426,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),5/23,125/11009,4.974600728046207e-06,0.00035206279681629214,0.0002846935129361443,AHSG/IGF1/KNG1/PCSK9/QSOX1,5,,
1,R-HSA-114608,R-HSA-114608,Platelet degranulation,5/23,129/11009,5.806034328148063e-06,0.00035206279681629214,0.0002846935129361443,AHSG/CD109/IGF1/KNG1/QSOX1,5,,
1,R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5/23,134/11009,6.994625102310439e-06,0.00035206279681629214,0.0002846935129361443,AHSG/CD109/IGF1/KNG1/QSOX1,5,,
1,R-HSA-8957275,R-HSA-8957275,Post-translational protein phosphorylation,4/23,108/11009,6.718225963960766e-05,0.0025361303013951893,0.002050826873209076,AHSG/KNG1/PCSK9/QSOX1,4,,
1,R-HSA-76002,R-HSA-76002,"Platelet activation, signaling and aggregation",5/23,263/11009,0.00017709973041903318,0.005348411858654802,0.004324961837601653,AHSG/CD109/IGF1/KNG1/QSOX1,5,,
1,GO:0042060,GO:0042060,wound healing,6/28,423/18870,3.035765024506645e-05,0.010252672362773814,0.0073668610113200505,CD109/COMP/CPB2/IGF1/KNG1/PROZ,6,,
1,GO:0003018,GO:0003018,vascular process in circulatory system,5/28,269/18870,4.2616348488947646e-05,0.010252672362773814,0.0073668610113200505,COMP/DBH/KNG1/LRP1/SOD3,5,,
1,GO:1900047,GO:1900047,negative regulation of hemostasis,3/28,49/18870,5.149674146507215e-05,0.010252672362773814,0.0073668610113200505,COMP/CPB2/KNG1,3,,
1,GO:0035296,GO:0035296,regulation of tube diameter,4/28,146/18870,6.093906170923552e-05,0.010252672362773814,0.0073668610113200505,COMP/DBH/KNG1/SOD3,4,,
1,GO:0097746,GO:0097746,blood vessel diameter maintenance,4/28,146/18870,6.093906170923552e-05,0.010252672362773814,0.0073668610113200505,COMP/DBH/KNG1/SOD3,4,,
1,GO:0035150,GO:0035150,regulation of tube size,4/28,147/18870,6.257989234653396e-05,0.010252672362773814,0.0073668610113200505,COMP/DBH/KNG1/SOD3,4,,
1,GO:0048660,GO:0048660,regulation of smooth muscle cell proliferation,4/28,171/18870,0.00011247636096969155,0.0151104240962604,0.010857305315190587,APOD/CDH13/DBH/IGF1,4,,
1,GO:0048659,GO:0048659,smooth muscle cell proliferation,4/28,175/18870,0.00012297394991870112,0.0151104240962604,0.010857305315190587,APOD/CDH13/DBH/IGF1,4,,
1,GO:1900046,GO:1900046,regulation of hemostasis,3/28,70/18870,0.00014984594545643259,0.016116105277075028,0.011579918231961604,COMP/CPB2/KNG1,3,,
1,GO:0010642,GO:0010642,negative regulation of platelet-derived growth factor receptor signaling pathway,2/28,13/18870,0.00016394817168947128,0.016116105277075028,0.011579918231961604,APOD/LRP1,2,,
1,GO:0061045,GO:0061045,negative regulation of wound healing,3/28,75/18870,0.00018392866164025835,0.016436534035670358,0.011810156168479748,CD109/CPB2/KNG1,3,,
1,GO:0050678,GO:0050678,regulation of epithelial cell proliferation,5/28,407/18870,0.0002972280146779333,0.021458569955507868,0.015418643722381302,CD109/CDH13/CPB2/DBH/IGF1,5,,
1,GO:0007178,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,5/28,410/18870,0.0003074563701197221,0.021458569955507868,0.015418643722381302,CD109/COMP/LRP1/VASN/WIF1,5,,
1,GO:0007596,GO:0007596,blood coagulation,4/28,224/18870,0.00031643190936638514,0.021458569955507868,0.015418643722381302,COMP/CPB2/KNG1/PROZ,4,,
1,GO:0050817,GO:0050817,coagulation,4/28,229/18870,0.0003440929063349418,0.021458569955507868,0.015418643722381302,COMP/CPB2/KNG1/PROZ,4,,
1,GO:0007599,GO:0007599,hemostasis,4/28,231/18870,0.00035562871879072624,0.021458569955507868,0.015418643722381302,COMP/CPB2/KNG1/PROZ,4,,
1,GO:0045861,GO:0045861,negative regulation of proteolysis,4/28,235/18870,0.00037952945552703686,0.021458569955507868,0.015418643722381302,AHSG/CPB2/KNG1/LRP1,4,,
1,GO:1903035,GO:1903035,negative regulation of response to wounding,3/28,97/18870,0.00039293413957186324,0.021458569955507868,0.015418643722381302,CD109/CPB2/KNG1,3,,
1,GO:0033002,GO:0033002,muscle cell proliferation,4/28,247/18870,0.0004581413176450817,0.023702785012900806,0.017031181392789464,APOD/CDH13/DBH/IGF1,4,,
1,GO:0010640,GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,2/28,24/18870,0.0005742958456076557,0.028226640811616275,0.020281711179091423,APOD/LRP1,2,,
1,GO:0050673,GO:0050673,epithelial cell proliferation,5/28,480/18870,0.00063172583989186,0.029570785743509447,0.021247520730197398,CD109/CDH13/CPB2/DBH/IGF1,5,,
1,GO:0030282,GO:0030282,bone mineralization,3/28,123/18870,0.0007859709916289081,0.03511861294414621,0.025233805520717575,AHSG/COMP/IGF1,3,,
1,GO:0030100,GO:0030100,regulation of endocytosis,4/28,291/18870,0.0008471051851205275,0.03613519035929396,0.025964247717605873,AHSG/CDH13/LRP1/PCSK9,4,,
1,GO:0030301,GO:0030301,cholesterol transport,3/28,128/18870,0.0008822426944283367,0.03613519035929396,0.025964247717605873,APOM/LRP1/PCSK9,3,,
1,GO:0061041,GO:0061041,regulation of wound healing,3/28,133/18870,0.0009857087810230228,0.03875806926982526,0.027848867034376775,CD109/CPB2/KNG1,3,,
1,GO:0042157,GO:0042157,lipoprotein metabolic process,3/28,135/18870,0.0010291560149428202,0.03891001394956893,0.027958043968689575,APOD/APOM/PCSK9,3,,
1,GO:0010466,GO:0010466,negative regulation of peptidase activity,3/28,137/18870,0.0010738003747330278,0.03909428771713208,0.02809045034876654,AHSG/KNG1/LRP1,3,,
1,GO:0015918,GO:0015918,sterol transport,3/28,141/18870,0.0011667316903425672,0.039546977790578426,0.028415722115412673,APOM/LRP1/PCSK9,3,,
1,GO:0030198,GO:0030198,extracellular matrix organization,4/28,321/18870,0.001218891616457349,0.039546977790578426,0.028415722115412673,COMP/CPB2/LRP1/QSOX1,4,,
1,GO:0043062,GO:0043062,extracellular structure organization,4/28,322/18870,0.001232967810481157,0.039546977790578426,0.028415722115412673,COMP/CPB2/LRP1/QSOX1,4,,
1,GO:0045229,GO:0045229,external encapsulating structure organization,4/28,323/18870,0.0012471579974648334,0.039546977790578426,0.028415722115412673,COMP/CPB2/LRP1/QSOX1,4,,
1,GO:0045807,GO:0045807,positive regulation of endocytosis,3/28,155/18870,0.0015315457603436186,0.04704717132555553,0.03380484227600553,AHSG/LRP1/PCSK9,3,,
2,HALLMARK_COAGULATION,HALLMARK_COAGULATION,HALLMARK_COAGULATION,11/18,138/4383,5.341802743153298e-13,6.944343566099288e-12,5.060655230355756e-12,APOC1/APOC2/APOC3/CLU/CPN1/F2/F9/FN1/GSN/ITIH1/PROC,11,,
2,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,6/18,200/4383,9.811105868081877e-05,0.000637721881425322,0.0004647365937512468,APOC1/CLU/F2/F7/FN1/ITIH1,6,,
2,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,4/18,200/4383,0.007773445728915644,0.03368493149196779,0.024547723354470457,APOE/FETUB/ITIH1/LCAT,4,,
2,hsa04610,hsa04610,Complement and coagulation cascades,8/22,88/8843,1.9854374625783543e-11,7.346118611539911e-10,6.896782764745862e-10,CLU/F2/F7/F9/PROC/SERPINA5/SERPIND1/SERPINF2,8,Organismal Systems,Immune system
2,hsa04979,hsa04979,Cholesterol metabolism,5/22,51/8843,1.2764398601787753e-07,2.3614137413307343e-06,2.216974493994715e-06,APOC1/APOC2/APOC3/APOE/LCAT,5,Organismal Systems,Digestive system
2,R-HSA-140877,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),6/28,39/11009,4.703764081764845e-10,2.8907715332721922e-08,1.592554902737263e-08,F2/F7/F9/PROC/SERPINA5/SERPIND1,6,,
2,R-HSA-174824,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",7/28,75/11009,5.403311277144284e-10,2.8907715332721922e-08,1.592554902737263e-08,APOC1/APOC2/APOC3/APOC4/APOE/APOF/LCAT,7,,
2,R-HSA-8963898,R-HSA-8963898,Plasma lipoprotein assembly,5/28,19/11009,8.28333338836823e-10,2.954388908518002e-08,1.6276023499951612e-08,APOC1/APOC2/APOC3/APOC4/APOE,5,,
2,R-HSA-140837,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,5/28,23/11009,2.380359396953779e-09,6.367461386851359e-08,3.507898058668727e-08,F2/F9/PROC/SERPINA5/SERPIND1,5,,
2,R-HSA-159740,R-HSA-159740,Gamma-carboxylation of protein precursors,4/28,10/11009,6.955838589488997e-09,1.0632496129647467e-07,5.857548285885471e-08,F2/F7/F9/PROC,4,,
2,R-HSA-159782,R-HSA-159782,Removal of aminoterminal propeptides from gamma-carboxylated proteins,4/28,10/11009,6.955838589488997e-09,1.0632496129647467e-07,5.857548285885471e-08,F2/F7/F9/PROC,4,,
2,R-HSA-8964058,R-HSA-8964058,HDL remodeling,4/28,10/11009,6.955838589488997e-09,1.0632496129647467e-07,5.857548285885471e-08,APOC2/APOC3/APOE/LCAT,4,,
2,R-HSA-159854,R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",4/28,11/11009,1.091153297800354e-08,1.4594175358079736e-07,8.040076931160504e-08,F2/F7/F9/PROC,4,,
2,R-HSA-8963899,R-HSA-8963899,Plasma lipoprotein remodeling,5/28,34/11009,1.9309960494789144e-08,2.1356090708498316e-07,1.1765283617077282e-07,APOC2/APOC3/APOE/APOF/LCAT,5,,
2,R-HSA-381426,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),7/28,125/11009,1.995896327897039e-08,2.1356090708498316e-07,1.1765283617077282e-07,APOE/APOL1/F2/FN1/ITIH2/PROC/SERPIND1,7,,
2,R-HSA-140875,R-HSA-140875,Common Pathway of Fibrin Clot Formation,4/28,22/11009,2.372706136615891e-07,2.1846004868054115e-06,1.2035182219488742e-06,F2/PROC/SERPINA5/SERPIND1,4,,
2,R-HSA-8957275,R-HSA-8957275,Post-translational protein phosphorylation,6/28,108/11009,2.4500192375387793e-07,2.1846004868054115e-06,1.2035182219488742e-06,APOE/APOL1/FN1/ITIH2/PROC/SERPIND1,6,,
2,R-HSA-8963888,R-HSA-8963888,Chylomicron assembly,3/28,10/11009,1.7473031417603432e-06,1.3354388297739766e-05,7.357065860043551e-06,APOC2/APOC3/APOE,3,,
2,R-HSA-8963901,R-HSA-8963901,Chylomicron remodeling,3/28,10/11009,1.7473031417603432e-06,1.3354388297739766e-05,7.357065860043551e-06,APOC2/APOC3/APOE,3,,
2,R-HSA-9029569,R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,4/28,37/11009,2.0868610121611805e-06,1.4886275220083088e-05,8.200997661826395e-06,APOC1/APOC2/APOC4/APOE,4,,
2,R-HSA-9024446,R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,4/28,47/11009,5.538332758098788e-06,3.703760031978565e-05,2.0404383845627114e-05,APOC1/APOC2/APOC4/APOE,4,,
2,R-HSA-166658,R-HSA-166658,Complement cascade,4/28,58/11009,1.2923169907435496e-05,8.13399517703293e-05,4.481099162949769e-05,CLU/COLEC11/CPN1/F2,4,,
2,R-HSA-163841,R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",4/28,61/11009,1.5812527487311043e-05,9.39966911745712e-05,5.178371574791921e-05,F2/F7/F9/PROC,4,,
2,R-HSA-8964043,R-HSA-8964043,Plasma lipoprotein clearance,3/28,37/11009,0.00010805161315703829,0.0006085011898843735,0.0003352293815398418,APOC1/APOC4/APOE,3,,
2,R-HSA-2173782,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,3/28,42/11009,0.00015829065341965368,0.0008468549957951472,0.0004665408732368741,APOE/APOL1/COLEC11,3,,
2,R-HSA-975634,R-HSA-975634,Retinoid metabolism and transport,3/28,44/11009,0.0001819927311347028,0.0009272962967339618,0.000510856789150043,APOC2/APOC3/APOE,3,,
2,R-HSA-977606,R-HSA-977606,Regulation of Complement cascade,3/28,47/11009,0.00022168397409876375,0.0010781902376621692,0.0005939857679201325,CLU/CPN1/F2,3,,
2,R-HSA-6806667,R-HSA-6806667,Metabolism of fat-soluble vitamins,3/28,48/11009,0.00023606082065561428,0.0010981959917456838,0.0006050071376070663,APOC2/APOC3/APOE,3,,
2,R-HSA-114608,R-HSA-114608,Platelet degranulation,4/28,129/11009,0.00029623895558428286,0.0013207320103132611,0.0007276044523122738,CLU/FN1/SERPINA4/SERPINF2,4,,
2,R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,4/28,134/11009,0.000342513806867787,0.0014659590933941286,0.0008076115025093084,CLU/FN1/SERPINA4/SERPINF2,4,,
2,R-HSA-76002,R-HSA-76002,"Platelet activation, signaling and aggregation",5/28,263/11009,0.0004691486310369718,0.001930727058498307,0.001063656815306495,CLU/F2/FN1/SERPINA4/SERPINF2,5,,
2,R-HSA-9651496,R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),2/28,16/11009,0.0007322722385664507,0.002798326054521794,0.0015416257654030543,F2/F9,2,,
2,R-HSA-9671793,R-HSA-9671793,Diseases of hemostasis,2/28,16/11009,0.0007322722385664507,0.002798326054521794,0.0015416257654030543,F2/F9,2,,
2,R-HSA-3000480,R-HSA-3000480,Scavenging by Class A Receptors,2/28,19/11009,0.0010385755581462943,0.0038319856800570168,0.0021110791744534474,APOE/COLEC11,2,,
2,R-HSA-6803157,R-HSA-6803157,Antimicrobial peptides,3/28,95/11009,0.001744059625524663,0.0062204793310379645,0.003426924176469513,CAMP/CLU/PGLYRP2,3,,
2,R-HSA-2187338,R-HSA-2187338,Visual phototransduction,3/28,104/11009,0.0022597569995402257,0.007799806417767876,0.004296991238514521,APOC2/APOC3/APOE,3,,
2,R-HSA-76009,R-HSA-76009,Platelet Aggregation (Plug Formation),2/28,39/11009,0.004361327348063005,0.014583188320085674,0.008034024062221326,F2/FN1,2,,
2,R-HSA-202733,R-HSA-202733,Cell surface interactions at the vascular wall,3/28,137/11009,0.004919011804916921,0.015949523125033654,0.008786751549452874,F2/FN1/PROC,3,,
2,R-HSA-9006931,R-HSA-9006931,Signaling by Nuclear Receptors,4/28,298/11009,0.006451361941177641,0.02030281552076493,0.011185023798945756,APOC1/APOC2/APOC4/APOE,4,,
2,R-HSA-2142753,R-HSA-2142753,Arachidonic acid metabolism,2/28,59/11009,0.009759902762891789,0.029837417017983467,0.01643773096908091,PON1/PON3,2,,
2,R-HSA-196854,R-HSA-196854,Metabolism of vitamins and cofactors,3/28,194/11009,0.01276614382185231,0.03794381635939437,0.020903627310635362,APOC2/APOC3/APOE,3,,
2,R-HSA-3000178,R-HSA-3000178,ECM proteoglycans,2/28,76/11009,0.01583088827436755,0.04578121744208995,0.025221329825450434,COL6A1/FN1,2,,
2,GO:0006869,GO:0006869,lipid transport,11/33,453/18870,1.6263345241694206e-10,9.461649000873529e-08,6.210459265546147e-08,APOC1/APOC2/APOC3/APOC4/APOE/APOF/APOL1/CLU/LCAT/PON1/SERPINA5,11,,
2,GO:0043691,GO:0043691,reverse cholesterol transport,5/33,20/18870,1.812576436948952e-10,9.461649000873529e-08,6.210459265546147e-08,APOC2/APOC3/APOE/CLU/LCAT,5,,
2,GO:0030301,GO:0030301,cholesterol transport,7/33,128/18870,2.066211694702332e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC1/APOC2/APOC3/APOE/CLU/LCAT/PON1,7,,
2,GO:0034368,GO:0034368,protein-lipid complex remodeling,5/33,33/18870,2.7304065794512905e-09,4.7168157104535235e-07,3.0960345104912727e-07,APOC1/APOC2/APOC3/APOE/LCAT,5,,
