,annotation,category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0032637,query,,,GO:0032637,interleukin-8 production,3/32,104/18870,0.0007181255326823333,0.012415285651565725,0.00866402464531722,CHI3L1/CRP/LBP,3
GO:0030203,query,,,GO:0030203,glycosaminoglycan metabolic process,3/32,112/18870,0.0008905758956859702,0.015106183589088438,0.01054187157554793,ITIH3/ITIH4/LYVE1,3
GO:0006910,query,,,GO:0006910,"phagocytosis, recognition",2/32,29/18870,0.0010992487145563288,0.018300455451595178,0.012770998711024793,CRP/LBP,2
GO:0031349,query,,,GO:0031349,positive regulation of defense response,5/32,480/18870,0.0011906408383625488,0.019291689253492682,0.013462732621136514,DDT/LBP/LTF/S100A8/S100A9,5
GO:0032102,query,,,GO:0032102,negative regulation of response to external stimulus,5/32,481/18870,0.0012017070057792996,0.019291689253492682,0.013462732621136514,DDT/DPP4/LTF/SAA1/SERPING1,5
GO:0002688,query,,,GO:0002688,regulation of leukocyte chemotaxis,3/32,126/18870,0.001251571800902555,0.019473130158651455,0.013589351413332085,DDT/DPP4/LBP,3
GO:0034143,query,,,GO:0034143,regulation of toll-like receptor 4 signaling pathway,2/32,31/18870,0.0012563309779775132,0.019473130158651455,0.013589351413332085,LBP/LTF,2
GO:0010951,query,,,GO:0010951,negative regulation of endopeptidase activity,3/32,128/18870,0.0013096052137652385,0.01995483198601609,0.013925507714613422,LTF/SERPINA3/SERPING1,3
GO:0001667,query,,,GO:0001667,ameboidal-type cell migration,5/32,497/18870,0.001389384361332708,0.020817609013968407,0.014527597883408665,CDH2/CORO1C/DPP4/LRG1/S100A9,5
GO:0019730,query,,,GO:0019730,antimicrobial humoral response,3/32,133/18870,0.0014620423420361368,0.021199613959523984,0.014794180574762946,LTF/PPBP/S100A9,3
GO:0030168,query,,,GO:0030168,platelet activation,3/32,133/18870,0.0014620423420361368,0.021199613959523984,0.014794180574762946,FGL1/GP5/SAA1,3
GO:0006026,query,,,GO:0006026,aminoglycan catabolic process,2/32,34/18870,0.0015109012380609568,0.021223440828387504,0.014810808188887012,CHI3L1/LYVE1,2
GO:0090022,query,,,GO:0090022,regulation of neutrophil chemotaxis,2/32,34/18870,0.0015109012380609568,0.021223440828387504,0.014810808188887012,DPP4/LBP,2
GO:0010466,query,,,GO:0010466,negative regulation of peptidase activity,3/32,137/18870,0.0015917036596818691,0.022014486000830776,0.01536284018089707,LTF/SERPINA3/SERPING1,3
GO:0006882,query,,,GO:0006882,intracellular zinc ion homeostasis,2/32,36/18870,0.0016931497974942194,0.02306275254465611,0.01609437447059896,S100A8/S100A9,2
GO:0007162,query,,,GO:0007162,negative regulation of cell adhesion,4/32,312/18870,0.001829674833183208,0.024550413060174688,0.017132540464684872,CORO1C/FGL1/HSPG2/MMP2,4
GO:0051092,query,,,GO:0051092,positive regulation of NF-kappaB transcription factor activity,3/32,150/18870,0.002062193970855857,0.027263417349991406,0.019025814344119055,LTF/S100A8/S100A9,3
GO:0014002,query,,,GO:0014002,astrocyte development,2/32,43/18870,0.0024089601725568377,0.03138630717577677,0.021902978838197945,S100A8/S100A9,2
GO:0018198,query,,,GO:0018198,peptidyl-cysteine modification,2/32,45/18870,0.002635478439846678,0.033847073106030905,0.02362022782178376,S100A8/S100A9,2
GO:1902622,query,,,GO:1902622,regulation of neutrophil migration,2/32,46/18870,0.0027523641368004054,0.0348503571687826,0.024320371023469855,DPP4/LBP,2
GO:0031589,query,,,GO:0031589,cell-substrate adhesion,4/32,356/18870,0.0029509305141053135,0.03684564628028718,0.025712786350976125,CORO1C/FGL1/LYVE1/NID1,4
GO:0050878,query,,,GO:0050878,regulation of body fluid levels,4/32,365/18870,0.0032276285856698015,0.03974846710297468,0.0277385239662466,FGL1/GP5/SAA1/SERPING1,4
GO:0010631,query,,,GO:0010631,epithelial cell migration,4/32,372/18870,0.003454772389721099,0.0419708159237739,0.029289393232912873,CORO1C/DPP4/LRG1/S100A9,4
GO:0090132,query,,,GO:0090132,epithelium migration,4/32,375/18870,0.0035553843370642133,0.04261720692027637,0.029740478103723104,CORO1C/DPP4/LRG1/S100A9,4
GO:0071622,query,,,GO:0071622,regulation of granulocyte chemotaxis,2/32,53/18870,0.003637515547588189,0.04302797996423397,0.030027136653221057,DPP4/LBP,2
GO:0090130,query,,,GO:0090130,tissue migration,4/32,380/18870,0.003727494652654979,0.04310244147223811,0.030079099721859275,CORO1C/DPP4/LRG1/S100A9,4
GO:0032640,query,,,GO:0032640,tumor necrosis factor production,3/32,186/18870,0.0037876450237005676,0.04310244147223811,0.030079099721859275,DDT/LBP/LTF,3
GO:0032680,query,,,GO:0032680,regulation of tumor necrosis factor production,3/32,186/18870,0.0037876450237005676,0.04310244147223811,0.030079099721859275,DDT/LBP/LTF,3
GO:0002686,query,,,GO:0002686,negative regulation of leukocyte migration,2/32,55/18870,0.003911698517780096,0.0434150242899297,0.030297236083131087,DDT/DPP4,2
GO:0034142,query,,,GO:0034142,toll-like receptor 4 signaling pathway,2/32,55/18870,0.003911698517780096,0.0434150242899297,0.030297236083131087,LBP/LTF,2
GO:0071706,query,,,GO:0071706,tumor necrosis factor superfamily cytokine production,3/32,191/18870,0.004079700112511315,0.04418855904997195,0.030837048409089966,DDT/LBP/LTF,3
GO:1903555,query,,,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,3/32,191/18870,0.004079700112511315,0.04418855904997195,0.030837048409089966,DDT/LBP/LTF,3
GO:2000116,query,,,GO:2000116,regulation of cysteine-type endopeptidase activity,3/32,195/18870,0.004322984126021879,0.045906881666594804,0.03203618227655349,LTF/S100A8/S100A9,3
GO:0031663,query,,,GO:0031663,lipopolysaccharide-mediated signaling pathway,2/32,58/18870,0.004340472682603513,0.045906881666594804,0.03203618227655349,LBP/LTF,2
GO:0007566,query,,,GO:0007566,embryo implantation,2/32,60/18870,0.004637897664691922,0.048482209308814396,0.033833378312807666,HSPG2/MMP2,2
GO:0090497,query,,,GO:0090497,mesenchymal cell migration,2/32,61/18870,0.004790059544090912,0.0494972819556061,0.03454174819453338,CDH2/CORO1C,2
GO:0022617,query,,,GO:0022617,extracellular matrix disassembly,2/32,62/18870,0.004944510714565388,0.04994511384712678,0.03485426831319895,DPP4/MMP2,2
GO:1903053,query,,,GO:1903053,regulation of extracellular matrix organization,2/32,62/18870,0.004944510714565388,0.04994511384712678,0.03485426831319895,DPP4/NID1,2
R-HSA-166658,query,,,R-HSA-166658,Complement cascade,4/27,58/11009,1.1120565398645829e-05,0.000552198780860795,0.00035322836994334253,CFB/CFHR5/CRP/SERPING1,4
R-HSA-114608,query,,,R-HSA-114608,Platelet degranulation,5/27,129/11009,1.3415786795004675e-05,0.000552198780860795,0.00035322836994334253,ITIH3/ITIH4/PPBP/SERPINA3/SERPING1,5
R-HSA-76005,query,,,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,5/27,134/11009,1.6137761080516722e-05,0.000552198780860795,0.00035322836994334253,ITIH3/ITIH4/PPBP/SERPINA3/SERPING1,5
R-HSA-5686938,query,,,R-HSA-5686938,Regulation of TLR by endogenous ligand,3/27,21/11009,1.6990731718793692e-05,0.000552198780860795,0.00035322836994334253,LBP/S100A8/S100A9,3
R-HSA-76002,query,,,R-HSA-76002,"Platelet activation, signaling and aggregation",6/27,263/11009,3.40741185699519e-05,0.0008859270828187494,0.0005667063930581473,GP5/ITIH3/ITIH4/PPBP/SERPINA3/SERPING1,6
R-HSA-6798695,query,,,R-HSA-6798695,Neutrophil degranulation,7/27,480/11009,0.00011895999103997328,0.0025774664725327547,0.0016487437354662962,CHI3L1/LRG1/LTF/PPBP/S100A8/S100A9/SERPINA3,7
R-HSA-977606,query,,,R-HSA-977606,Regulation of Complement cascade,3/27,47/11009,0.0001985255125265494,0.0036869023754930604,0.0023584233818943457,CFB/CFHR5/SERPING1,3
R-HSA-166016,query,,,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,4/27,146/11009,0.0004108814665505775,0.0066768238314468846,0.004271004718091529,LBP/S100A8/S100A9/SAA1,4
R-HSA-9651496,query,,,R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),2/27,16/11009,0.0006805435872038995,0.008250320252869477,0.0052775327933335114,GP5/SERPING1,2
R-HSA-9671793,query,,,R-HSA-9671793,Diseases of hemostasis,2/27,16/11009,0.0006805435872038995,0.008250320252869477,0.0052775327933335114,GP5/SERPING1,2
R-HSA-168898,query,,,R-HSA-168898,Toll-like Receptor Cascades,4/27,168/11009,0.0006981040213966481,0.008250320252869477,0.0052775327933335114,LBP/S100A8/S100A9/SAA1,4
R-HSA-5602498,query,,,R-HSA-5602498,MyD88 deficiency (TLR2/4),2/27,17/11009,0.000770116862808689,0.008342932680427465,0.005336774751042668,S100A8/S100A9,2
R-HSA-5603041,query,,,R-HSA-5603041,IRAK4 deficiency (TLR2/4),2/27,18/11009,0.0008650720116128267,0.008650720116128267,0.005533659021652899,S100A8/S100A9,2
R-HSA-140837,query,,,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2/27,23/11009,0.001419704953916849,0.011982449086815854,0.007664886460392326,GP5/SERPING1,2
R-HSA-166663,query,,,R-HSA-166663,Initial triggering of complement,2/27,23/11009,0.001419704953916849,0.011982449086815854,0.007664886460392326,CFB/CRP,2
R-HSA-5668599,query,,,R-HSA-5668599,RHO GTPases Activate NADPH Oxidases,2/27,24/11009,0.0015464299492006566,0.011982449086815854,0.007664886460392326,S100A8/S100A9,2
R-HSA-6803157,query,,,R-HSA-6803157,Antimicrobial peptides,3/27,95/11009,0.001566935649814381,0.011982449086815854,0.007664886460392326,LTF/S100A8/S100A9,3
R-HSA-6785807,query,,,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,3/27,108/11009,0.0022626907417420514,0.013863743508273683,0.00886830556399693,LBP/MMP2/SAA1,3
R-HSA-977225,query,,,R-HSA-977225,Amyloid fiber formation,3/27,110/11009,0.0023841801002466847,0.013863743508273683,0.00886830556399693,HSPG2/LTF/SAA1,3
R-HSA-3000157,query,,,R-HSA-3000157,Laminin interactions,2/27,30/11009,0.002415314568376472,0.013863743508273683,0.00886830556399693,HSPG2/NID1,2
R-HSA-166058,query,,,R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,3/27,113/11009,0.0025739036057456266,0.013863743508273683,0.00886830556399693,S100A8/S100A9/SAA1,3
R-HSA-168188,query,,,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,3/27,113/11009,0.0025739036057456266,0.013863743508273683,0.00886830556399693,S100A8/S100A9/SAA1,3
R-HSA-5260271,query,,,R-HSA-5260271,Diseases of Immune System,2/27,31/11009,0.0025779919816666273,0.013863743508273683,0.00886830556399693,S100A8/S100A9,2
R-HSA-5602358,query,,,R-HSA-5602358,Diseases associated with the TLR signaling cascade,2/27,31/11009,0.0025779919816666273,0.013863743508273683,0.00886830556399693,S100A8/S100A9,2
R-HSA-168179,query,,,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,3/27,116/11009,0.0027727487016547367,0.013863743508273683,0.00886830556399693,S100A8/S100A9/SAA1,3
R-HSA-181438,query,,,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,3/27,116/11009,0.0027727487016547367,0.013863743508273683,0.00886830556399693,S100A8/S100A9/SAA1,3
R-HSA-381426,query,,,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),3/27,125/11009,0.003425463478126332,0.016492972302089747,0.010550160419960241,CDH2/GOLM1/MMP2,3
R-HSA-140877,query,,,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),2/27,39/11009,0.004058850912925189,0.01884466495286695,0.012054482034627438,GP5/SERPING1,2
R-HSA-1474228,query,,,R-HSA-1474228,Degradation of the extracellular matrix,3/27,140/11009,0.004708668166012561,0.021107822813159757,0.01350217005862041,HSPG2/MMP2/NID1,3
R-HSA-1474244,query,,,R-HSA-1474244,Extracellular matrix organization,4/27,300/11009,0.005782548001192388,0.025057708005167014,0.01602881726646311,HSPG2/ICAM3/MMP2/NID1,4
HALLMARK_COMPLEMENT,query,,,HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,5/15,200/4383,0.00038850413379800205,0.002719528936586014,0.0018402827390431678,CFB/DPP4/LTF/S100A9/SERPING1,5
HALLMARK_XENOBIOTIC_METABOLISM,query,,,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,5/15,200/4383,0.00038850413379800205,0.002719528936586014,0.0018402827390431678,CFB/CRP/DDT/GSTO1/ITIH4,5
HALLMARK_COAGULATION,query,,,HALLMARK_COAGULATION,HALLMARK_COAGULATION,4/15,138/4383,0.0009800192099689564,0.004573422979855131,0.0030947975051651257,CFB/DPP4/MMP2/SERPING1,4
